gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	CycloheximideControl_mean_psi	CycloheximideTDP43KD_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
IFFO1	ENSG00000010295.20	ENSG00000010295.20:s:6549756-6550467	0.0951;0.0321;-0.1466	4.362e-01;6.710e-02;6.662e-01	7.850e-02;4.186e-01;2.782e-02	0.4145;0.0299;0.5462	0.5513;0.0753;0.3702	s|1e1.1o2|1e1.2o2|1e2.2o2	3	3	0;1;0	chr12	-	6549484-6549756;6549481-6549756;6548825-6549756	6548668-6549265;6549476-6549484;6549756-6550467		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A6550467-6548668
ZNF200	ENSG00000010539.12	ENSG00000010539.12:t:3233506-3234195	-0.0255;0.1027;-0.0667	6.622e-03;5.075e-01;3.047e-01	5.736e-01;6.845e-02;1.535e-01	0.0639;0.6149;0.3195	0.0269;0.7316;0.2439	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr16	-	3233836-3235112;3233836-3234987;3233836-3234636	3233506-3234195;3234636-3235070;3235112-3235457		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A3235457-3233506
TTC19	ENSG00000011295.16	ENSG00000011295.16:s:16006474-16006568	0.1222;-0.0418;-0.0589	6.856e-01;8.723e-02;1.966e-01	2.540e-02;3.569e-01;2.177e-01	0.0455;0.0935;0.8597	0.1657;0.0421;0.7879	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	chr17	+	16006568-16008978;16006568-16024489;16006568-16025017	16006474-16006568;16008978-16009200;16023673-16024582;16024618-16025171		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A16025171-16006474
TTC19	ENSG00000011295.16	ENSG00000011295.16:t:16024618-16025171	-0.1552;0.2318;-0.0000;-0.0621	8.682e-01;9.999e-01;7.588e-21;1.940e-01	5.327e-03;7.909e-09;9.998e-01;2.138e-01	0.7159;0.1020;0.0217;0.1544	0.5602;0.3391;0.0191;0.0821	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;1;1;0	chr17	+	16006568-16025017;16009200-16025017;16014177-16025017;16024582-16025017	16006474-16006568;16008978-16009200;16014109-16014177;16023673-16024582;16024618-16025171		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A16025171-16006474
QPCTL	ENSG00000011478.13	ENSG00000011478.13:s:45693413-45693556	-0.0590;-0.0509;0.0052;0.1299;0.0000;-0.0133	2.373e-01;2.243e-01;1.537e-04;6.684e-01;5.996e-08;1.787e-02	1.977e-01;2.118e-01;8.204e-01;3.521e-02;9.953e-01;5.925e-01	0.1228;0.3967;0.0169;0.3374;0.0101;0.1109	0.0527;0.3143;0.0404;0.4864;0.0148;0.0811	s|1e1.1o4|1e1.2o4|1e1.3o4|1e1.4o4|1e2.1o1|i	6	3	0;0;1;0;0;1	chr19	+	45693556-45695401;45693556-45695437;45693556-45695602;45693556-45695633;45693556-45698547;45693557-45695400	45693413-45693556;45695401-45695718;45698480-45698699	45693557-45695400	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A45698699-45693413
NUB1	ENSG00000013374.17	ENSG00000013374.17:s:151360141-151360914	-0.1027;0.0000;0.0320;0.0697	5.266e-01;7.046e-21;6.853e-02;2.730e-01	6.621e-02;1.000e+00;4.054e-01;1.536e-01	0.7989;0.0128;0.0998;0.0881	0.6926;0.0002;0.1470;0.1640	s|1e2.1o1|2e3.1o1|3e1.1o1|i	4	4	0;1;0;1	chr7	+	151360247-151366939;151360899-151371971;151360914-151361059;151360915-151361058	151360141-151360914;151361059-151361249;151366939-151367125;151371971-na	151360915-151361058	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A151371981-151360141
ZMYND11	ENSG00000015171.20	ENSG00000015171.20:t:179994-180128	-0.0037;-0.0151;0.0240;-0.1179;0.1457	1.858e-05;1.145e-02;3.709e-02;6.359e-01;7.879e-01	8.938e-01;6.330e-01;5.083e-01;3.786e-02;1.450e-02	0.0348;0.0986;0.0522;0.2774;0.5411	0.0004;0.0685;0.0883;0.1469;0.6927	t|1e1.1o2|1e1.2o2|1e2.1o2|1e2.2o2|1e3.1o1	5	4	0;0;1;0;0	chr10	+	134786-179994;134892-179994;135203-179994;135302-179994;135559-179994	134465-134892;135069-135302;135455-135559;179994-180128		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A180128-134465
NUDCD3	ENSG00000015676.18	ENSG00000015676.18:s:44425900-44426423	0.1112;-0.1112	5.216e-01;5.216e-01	5.717e-02;5.717e-02	0.0851;0.9149	0.2206;0.7794	s|1e1.1o1|1e2.1o1	2	3	0;0	chr7	-	44413283-44425900;44404583-44425900	44404440-44404583;44413191-44413283;44425900-44426423		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A44426423-44404440
NUDCD3	ENSG00000015676.18	ENSG00000015676.18:t:44413191-44413283	-0.0550;0.1645;-0.0592	2.550e-01;7.940e-01;2.824e-01	1.565e-01;1.427e-02;1.510e-01	0.6814;0.0389;0.2814	0.5875;0.2308;0.1889	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;1	chr7	-	44413283-44427571;44413283-44425900;44413283-44413755	44413191-44413283;44413755-na;44425900-44426423;44427571-44427703		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A44427703-44413191
RALBP1	ENSG00000017797.13	ENSG00000017797.13:t:9512991-9513289	0.1035;-0.0520;-0.0275;-0.0000;-0.0000	4.967e-01;2.321e-01;4.058e-02;6.126e-09;6.126e-09	6.990e-02;2.018e-01;4.862e-01;1.000e+00;1.000e+00	0.0464;0.8865;0.0696;0.0016;0.0016	0.1572;0.8138;0.0237;0.0012;0.0012	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr18	+	9475176-9512991;9475691-9512991;9476286-9512991;9477253-9512991;9479437-9512991	9475009-9475176;9475454-9475691;9476127-9476286;9476969-9477253;9479344-9479437;9512991-9513289		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr18%3A9513289-9475009
GRAMD1B	ENSG00000023171.19	ENSG00000023171.19:t:123577367-123577577	-0.0269;0.2143;-0.0000;0.0004;-0.1177;-0.0000;-0.0968;-0.0382;0.0954	7.708e-02;8.201e-01;1.878e-07;5.988e-05;6.026e-01;1.878e-07;4.503e-01;1.065e-01;4.716e-01	4.066e-01;8.384e-03;9.998e-01;9.853e-01;4.429e-02;9.998e-01;7.498e-02;3.442e-01;7.912e-02	0.0831;0.3325;0.0013;0.0013;0.1620;0.0013;0.2735;0.0832;0.0681	0.0419;0.5718;0.0011;0.0102;0.0222;0.0011;0.1407;0.0196;0.1813	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1|1e8.1o2|1e8.2o2	9	9	1;0;0;0;1;0;1;0;0	chr11	+	123358799-123577367;123480893-123577367;123491959-123577367;123510037-123577367;123510696-123577367;123526171-123577367;123559691-123577367;123560527-123577367;123560652-123577367	na-123559691;123358428-123358799;123480738-123480893;123491653-123491959;123509918-123510037;123510653-123510696;123525636-123526171;123560262-123560652;123577367-123577577		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A123577577-123358428
DERA	ENSG00000023697.13	ENSG00000023697.13:s:15956936-15957033	-0.1110;-0.0003;0.1092	5.711e-01;1.202e-07;5.568e-01	5.169e-02;9.753e-01;5.498e-02	0.7557;0.0237;0.2161	0.6373;0.0276;0.3368	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr12	+	15957033-15958188;15957033-15958240;15957033-15959829	15956936-15957033;15958188-15958335;15959829-15959924		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A15959924-15956936
DERA	ENSG00000023697.13	ENSG00000023697.13:t:15959829-15959924	0.1303;-0.1303	6.730e-01;6.730e-01	3.178e-02;3.178e-02	0.2329;0.7671	0.3777;0.6223	t|1e1.1o1|1e2.1o1	2	3	0;0	chr12	+	15957033-15959829;15958335-15959829	15956936-15957033;15958188-15958335;15959829-15959924		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A15959924-15956936
PHF20	ENSG00000025293.17	ENSG00000025293.17:s:35771974-35772079	0.2117;0.0005;-0.0326;-0.1756;-0.0000	9.137e-01;2.600e-06;2.759e-02;8.118e-01;7.586e-21	3.394e-03;9.844e-01;4.908e-01;1.167e-02;1.000e+00	0.3192;0.0009;0.0675;0.6138;0.0009	0.5320;0.0147;0.0201;0.4271;0.0008	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;0;0;0	chr20	+	35772079-35774488;35772079-35782328;35772079-35800094;35772079-35801491;35772079-35838355	35771974-35772079;35774488-35775058;35782328-35782609;35800094-35800173;35801491-35801972;35838355-35838442		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A35838442-35771974
TYMP	ENSG00000025708.14	ENSG00000025708.14:t:50527417-50527745	0.0000;0.0000;0.0000;0.0000;0.0000;0.1057;-0.1077	6.704e-05;6.704e-05;6.704e-05;6.704e-05;6.704e-05;5.026e-01;5.157e-01	9.929e-01;9.929e-01;9.929e-01;9.929e-01;9.929e-01;6.279e-02;6.089e-02	0.0028;0.0028;0.0028;0.0028;0.0028;0.8095;0.1751	0.0032;0.0032;0.0032;0.0032;0.0032;0.9496;0.0343	t|1e4.1o1|2e4.1o1|3e1.2o2|3e2.1o1|3e3.2o2|3e4.1o1|i	7	5	1;1;0;1;0;0;1	chr22	-	50527745-50528512;50527732-50528512;50527717-50529904;50527717-50529496;50527717-50529136;50527717-50528512;50527746-50527791	50527417-50527745;50527792-50528610;50528685-50529338;50529496-50529848;50529904-50530032	50527746-50527791	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr22%3A50530032-50527417
AGPAT4	ENSG00000026652.15	ENSG00000026652.15:s:161160105-161165713	-0.4935;0.4739;0.0093	9.998e-01;9.995e-01;3.341e-02	1.056e-06;4.284e-06;5.486e-01	0.7897;0.1760;0.0405	0.3091;0.6303;0.0557	s|1e1.1o1|1e2.1o1|i	3	3	0;1;1	chr6	-	161154310-161165577;161153499-161165577;161154311-161160104	161153346-161153499;161154145-161154310;161160105-161165713	161154311-161160104	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A161165713-161153346
AGPAT4	ENSG00000026652.15	ENSG00000026652.15:s:161165838-161166417	0.0663;-0.6555;0.5630	2.662e-01;1.000e+00;1.000e+00	1.690e-01;0.000e+00;1.569e-20	0.1312;0.8521;0.0170	0.2139;0.2117;0.5750	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;1	chr6	-	161165713-161166248;161154310-161166248;161153499-161166248	161153346-161153499;161154145-161154310;161160105-161165713;161165838-161166417		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A161166417-161153346
AGPAT4	ENSG00000026652.15	ENSG00000026652.15:t:161153346-161153499	0.0522;0.4726;0.0744;-0.6205;-0.0075	5.780e-02;1.000e+00;2.503e-01;1.000e+00;2.485e-05	3.853e-01;1.878e-20;1.673e-01;0.000e+00;8.102e-01	0.0051;0.0102;0.0243;0.9237;0.0389	0.0822;0.4823;0.1054;0.3155;0.0096	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|1e4.2o2	5	5	1;1;1;0;1	chr6	-	161153499-161232036;161153499-161166248;161153499-161165577;161153499-161154149;161153499-161154145	161153346-161153499;161154145-161154310;161160105-161165713;161165838-161166417;161232036-161232302		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A161232302-161153346
BRD9	ENSG00000028310.18	ENSG00000028310.18:s:882956-883450	0.0903;-0.1131;0.1852;0.0005;0.0000;-0.1841	4.173e-01;5.539e-01;7.457e-01;1.255e-04;1.225e-06;9.407e-01	8.774e-02;5.487e-02;1.543e-02;9.783e-01;9.994e-01;1.327e-03	0.1471;0.3759;0.2721;0.0009;0.0009;0.2151	0.2548;0.2276;0.4815;0.0137;0.0022;0.0136	s|1e1.2o2|2e1.2o2|3e1.2o2|3e2.2o2|4e1.1o2|i	6	3	1;0;0;0;0;1	chr5	-	881182-883355;881182-883351;881182-883332;879889-883332;882545-882956;882546-882955	879794-880098;881107-882545;882956-883450	882546-882955	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A883450-879794
BRD9	ENSG00000028310.18	ENSG00000028310.18:s:883938-884070	-0.0368;-0.2413;0.2949	3.100e-02;9.998e-01;1.000e+00	4.683e-01;4.722e-08;7.276e-15	0.1104;0.7452;0.1420	0.0619;0.5054;0.4300	s|1e1.1o1|1e2.2o2|1e3.2o2	3	4	0;0;0	chr5	-	883450-883938;881182-883938;879889-883938	879794-880098;881107-882545;882956-883450;883938-884070		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A884070-879794
BRD9	ENSG00000028310.18	ENSG00000028310.18:t:850291-850602	-0.1718;0.1611;0.0095	7.783e-01;7.717e-01;5.236e-02	1.450e-02;1.661e-02;4.774e-01	0.6980;0.1287;0.1688	0.5109;0.3004;0.1869	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;1	chr5	-	850602-878355;850602-859601;850602-859550	850291-850602;859550-na;859601-na;878355-879315		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A879315-850291
BRD9	ENSG00000028310.18	ENSG00000028310.18:t:879794-880098	-0.0007;0.0001;0.0361;0.2176;0.0000;-0.2549;0.0000;-0.0000	7.319e-21;7.082e-21;2.085e-02;9.997e-01;7.046e-21;1.000e+00;7.047e-21;7.050e-21	9.725e-01;9.960e-01;4.799e-01;4.242e-10;1.000e+00;4.611e-12;9.999e-01;9.995e-01	0.0377;0.0001;0.0853;0.1021;0.0001;0.7285;0.0213;0.0274	0.0111;0.0307;0.1239;0.3225;0.0012;0.4684;0.0214;0.0186	t|1e5.1o1|2e1.1o1|2e2.1o1|2e3.1o1|2e4.3o4|2e5.1o1|2e6.1o1|i	8	7	1;1;0;0;0;0;1;1	chr5	-	880023-881107;879889-887361;879889-886592;879889-883938;879889-883332;879889-881107;879889-880238;880099-881106	879794-880098;880238-na;881107-882545;882956-883450;883938-884070;886592-886767;887361-887471	880099-881106	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A887471-879794
