"","x"
"178","chr19:45468712-45470746"
"179","chr3:17566477-17586353"
"180","chr3:17562142-17566400"
"181","chr16:2118845-2119307"
"182","chr16:2118845-2119307"
"183","chrX:54928710-54931204"
"184","chrX:54928710-54931204"
"185","chr18:76467142-76467359"
"186","chr18:76467142-76467359"
"187","chr11:107650403-107654172"
"188","chr11:107650403-107654172"
"189","chr4:373402-374489"
"190","chr18:34822566-34827593"
"191","chr18:34878428-34879630"
"192","chr13:75312898-75326197"
"193","chr13:75312898-75326197"
"194","chr16:580972-582883"
"195","chr9:37668239-37672269"
"196","chr9:37718572-37719069"
"197","chr1:40262876-40267786"
"198","chr20:62913289-62913315"
"199","chr20:1578420-1611440"
"200","chr17:58982921-58992376"
"201","chr11:18312024-18321946"
"202","chr12:109594903-109595028"
"203","chr1:11025208-11029687"
"204","chr13:99255906-99258154"
"205","chr13:99255906-99258154"
"206","chr16:3068877-3081521"
"207","chr16:71702731-71723769"
"208","chr16:71702731-71723769"
"209","chr19:4011633-4012923"
"210","chr7:6011543-6015146"
"211","chr5:59382845-59508580"
"212","chr5:59382845-59508580"
"213","chr19:14440329-14441143"
"214","chr15:57468988-57516780"
"215","chr2:239989018-239989063"
"216","chr17:6758577-6758769"
"217","chr17:6758625-6758769"
"218","chr17:6758433-6758482"
"219","chr6:111696456-111699515"
"220","chr22:39318566-39319390"
"221","chr14:50754867-50759857"
"222","chr14:50754867-50759857"
"223","chr8:143555196-143558378"
"224","chr7:103322794-103324482"
"225","chr7:103322794-103324482"
"226","chr3:132694965-132697260"
"227","chr3:132694965-132697260"
"228","chr3:172751116-172754509"
"229","chr6:82957450-82963461"
"230","chr16:11775482-11776320"
"231","chr9:34577328-34581095"
"232","chr6:26423277-26423361"
"233","chr18:76848796-76849526"
"234","chr5:180809076-180815414"
"235","chr7:47481141-47481245"
"236","chr14:68878523-68878989"
"237","chr1:51804463-51804614"
"238","chr6:11213727-11305992"
"239","chr15:76935722-76941637"
"240","chr10:98414295-98415009"
"241","chr10:119104197-119105311"
"242","chr5:75511914-75552472"
"243","chr16:58599511-58628939"
"244","chr1:39215429-39231182"
"245","chr10:99794468-99796391"
"246","chr10:99817196-99817308"
"247","chrX:150712365-150718625"
"248","chr19:49360081-49362333"
"249","chr6:109002343-109009359"
"250","chr16:125073-130522"
"251","chr7:43657269-43665658"
"252","chr17:40178381-40181616"
"253","chr17:50170666-50173230"
"254","chr11:2387026-2390412"
"255","chr2:37293271-37324198"
"256","chr7:35801270-35831495"
"257","chr17:43091032-43094744"
"258","chr7:81742949-81743353"
"259","chr12:12554659-12561000"
"260","chr3:180970358-180976122"
"261","chr3:180970358-180976122"
"262","chr2:69466551-69495985"
"263","chr2:69480961-69505569"
"264","chr3:138759359-138788839"
"265","chr12:10702512-10703523"
"266","chr17:3822898-3824060"
"267","chr12:6872997-6873246"
"268","chr5:80056032-80061695"
"269","chr5:80056032-80061695"
"270","chr7:33561788-33604865"
"271","chr7:33564858-33604865"
"272","chr1:156475237-156477012"
"273","chr1:156475237-156477012"
"274","chr1:200150966-200173963"
"275","chr12:118266759-118359521"
"276","chr12:118266759-118358919"
"277","chr16:67234472-67236557"
"278","chr16:67234472-67236557"
"279","chr10:72213331-72215782"
"280","chr10:68133070-68196529"
"281","chr8:2055045-2055070"
"282","chr8:2055093-2055142"
"283","chr8:2054951-2055142"
"284","chr8:2054999-2055023"
"285","chr8:2055045-2055070"
"286","chr8:2054951-2055142"
"287","chr8:2055093-2055142"
"288","chr8:2127643-2127688"
"289","chr2:187442038-187448039"
"290","chr11:133937961-133939396"
"291","chr5:134143640-134146224"
"292","chr20:3707234-3708962"
"293","chr19:14534356-14548195"
"294","chr22:21695496-21696885"
"295","chr22:21695496-21696885"
"296","chr17:68512970-68514987"
"297","chr12:53047063-53051855"
"298","chr6:170400108-170400187"
"299","chr10:86693286-86699278"
"300","chr7:29860563-29875830"
"301","chr5:88884426-88887502"
"302","chr7:157369716-157369745"
"303","chr2:119223888-119244424"
"304","chr2:54987698-55025086"
"305","chr12:49367587-49460770"
"306","chr12:49367587-49460770"
"307","chr20:48747880-48821406"
"308","chr13:113045361-113046598"
"309","chr13:113044888-113045271"
"310","chr3:101828184-101829613"
"311","chr3:126180544-126180785"
"312","chr11:62522920-62529803"
"313","chr11:62521768-62529803"
"314","chr11:62522899-62529782"
"315","chr11:62529880-62530265"
"316","chr11:62522998-62530265"
"317","chr11:62526049-62530586"
"318","chr11:62529378-62530753"
"319","chr11:62528370-62530753"
"320","chr11:62528167-62530934"
"321","chr11:62527582-62530934"
"322","chr11:62530969-62531717"
"323","chr11:62530279-62531795"
"324","chr11:62525743-62531795"
"325","chr11:62528827-62531939"
"326","chr11:62529817-62532101"
"327","chr11:62525281-62532101"
"328","chr11:62531815-62532200"
"329","chr11:62530684-62532200"
"330","chr11:62520391-62526434"
"331","chr11:62520391-62526050"
"332","chr11:62520469-62525360"
"333","chr11:62521462-62522231"
"334","chr11:62521462-62521847"
"335","chr11:62521561-62526212"
"336","chr11:62521768-62525267"
"337","chr11:62521950-62526217"
"338","chr11:62522718-62525065"
"339","chr11:62522899-62529782"
"340","chr11:62522998-62530265"
"341","chr11:62522998-62523605"
"342","chr11:62523027-62523634"
"343","chr11:62523013-62528282"
"344","chr11:62523013-62525744"
"345","chr11:62525281-62532101"
"346","chr11:62525281-62525666"
"347","chr11:62525488-62526257"
"348","chr11:62525743-62531795"
"349","chr11:62525743-62528282"
"350","chr11:62525728-62526497"
"351","chr11:62526049-62530586"
"352","chr11:62526112-62526497"
"353","chr11:62526334-62526608"
"354","chr11:62526298-62527826"
"355","chr11:62526511-62530664"
"356","chr11:62526511-62526896"
"357","chr11:62527950-62528059"
"358","chr11:62528167-62530934"
"359","chr11:62528370-62530753"
"360","chr11:62529289-62531795"
"361","chr11:62529916-62530301"
"362","chr11:62530279-62531795"
"363","chr11:62530663-62532542"
"364","chr11:62520085-62526128"
"365","chr11:62527548-62528134"
"366","chrX:17837395-17837537"
"367","chr13:37565496-37569744"
"368","chr11:14295855-14341810"
"369","chr11:14295855-14358257"
"370","chr2:230810846-230814049"
"371","chr2:127065872-127068924"
"372","chr1:223229394-223264630"
"373","chr3:4068093-4068569"
"374","chr4:55397271-55411614"
"375","chr2:25423515-25427467"
"376","chr2:25639094-25650022"
"377","chr2:196343764-196433132"
"378","chr12:39311553-39319906"
"379","chr12:39326324-39330746"
"380","chr12:39311553-39319906"
"381","chr12:39326324-39330746"
"382","chr18:21383676-21384205"
"383","chr4:4268615-4269429"
"384","chr2:172566933-172570726"
"385","chr2:172566933-172570726"
"386","chr5:96740118-96741266"
"387","chr5:96740118-96741266"
"388","chr6:7727619-7731504"
"389","chr4:2329142-2335705"
"390","chr3:63967975-63979915"
"391","chr2:28633039-28633279"
"392","chr10:45590574-45593384"
"393","chr8:99013271-99013760"
"394","chr20:62126439-62129785"
"395","chr20:62126439-62129785"
"396","chr12:31702007-31714882"
"397","chr3:126957332-126957416"
"398","chr1:54548342-54548467"
"399","chr1:54548619-54584655"
"400","chr8:17675015-17675186"
"401","chr17:16087345-16091863"
"402","chr18:11752578-11752853"
"403","chr1:228083309-228097078"
"404","chr5:6652008-6653447"
"405","chr5:78510398-78549026"
"406","chrX:38561627-38641399"
"407","chr19:44267144-44272899"
"408","chr22:36149371-36159377"
"409","chr6:152180294-152185274"
"410","chr1:182789904-182792232"
"411","chr1:182789904-182792232"
"412","chr17:82859836-82870224"
"413","chr2:182030979-182061442"
"414","chr4:44678551-44682582"
"415","chr21:46224260-46225791"
"416","chr3:48419674-48420665"
"417","chr10:73650772-73650908"
"418","chrX:154466512-154466681"
"419","chr2:128155587-128157252"
"420","chr2:128155587-128157252"
"421","chr10:101227790-101228148"
"422","chr12:6445555-6450173"
"423","chr12:6450352-6450541"
"424","chr12:6450630-6450895"
"425","chr3:188225527-188245729"
"426","chr3:188245735-188341663"
"427","chr16:89721845-89722531"
"428","chr16:663553-665679"
"429","chr3:196228273-196228809"
"430","chr1:42817253-42817534"
"431","chr3:156292128-156421616"
"432","chr15:34177999-34181987"
"433","chr1:78069126-78080675"
"434","chr15:100573300-100573651"
"435","chr1:212565483-212615018"
"436","chr1:204962158-204968249"
"437","chr19:35890697-35895978"
"438","chr12:566178-663328"
"439","chr1:121187513-121324478"
"440","chr1:121187513-121324478"
"441","chr9:83389708-83473381"
"442","chr22:33856802-33867489"
"443","chr13:75789087-75795401"
"444","chr13:75805760-75807480"
"445","chr15:56429194-56431372"
"446","chr12:46793183-46825903"
"447","chr16:82627137-82723021"
"448","chr5:10237668-10239153"
"449","chr3:53168811-53178404"
"450","chr22:30664080-30664955"
"451","chr6:32055953-32061500"
"452","chr6:32055953-32061500"
"453","chr2:108659764-108662229"
"454","chr7:77242430-77254506"
"455","chr4:75793901-75799622"
"456","chr14:104985878-104988943"
"457","chr18:49379758-49391385"
"458","chr14:39267522-39276934"
"459","chr4:80201521-80201911"
"460","chr17:69248317-69249819"
"461","chr3:54968272-54968450"
"462","chr4:141637224-141688822"
"463","chr9:35095566-35095879"
"464","chr3:99840454-100074925"
"465","chr15:85544143-85575131"
"466","chr1:145736134-145738486"
"467","chr12:54188596-54188726"
"468","chr14:20401581-20403723"
"469","chr14:20401581-20403723"
"470","chrX:66599860-66602633"
"471","chr6:144168676-144186623"
"472","chr11:110690629-110711658"
"473","chr5:83258677-83353131"
"474","chr5:83096263-83104910"
"475","chr3:171138379-171140399"
"476","chr1:153685880-153686646"
"477","chr17:63009626-63049723"
"478","chr17:63049787-63073943"
"479","chr4:55486549-55486650"
"480","chr3:194593074-194596868"
"481","chr8:28891484-28963811"
"482","chr10:86968605-86970476"
"483","chr2:229880128-229923148"
"484","chr10:76970067-77001407"
"485","chr3:38499747-38501355"
"486","chr20:62546621-62547548"
"487","chr2:97202393-97206136"
"488","chr10:26751783-26765218"
"489","chr10:26751783-26765218"
"490","chr1:2556252-2556585"
"491","chr19:21971924-21972345"
"492","chr14:21025750-21026767"
"493","chr2:96829134-96832552"
"494","chr2:144390028-144394393"
"495","chr10:103394394-103396409"
"496","chr10:103392466-103394199"
"497","chr17:47404633-47407530"
"498","chr17:47361521-47370437"
"499","chr17:47407677-47409645"
"500","chr15:42730764-42730963"
"501","chr16:87414144-87414227"
"502","chr2:240481097-240499958"
"503","chr2:240481097-240499958"
"504","chr2:240555055-240557190"
"505","chr3:111949075-111949702"
"506","chr3:111954029-111957236"
"507","chr3:111911724-111913319"
"508","chr3:111949890-111952572"
"509","chr3:111960180-111962108"
"510","chr3:142748460-142762221"
"511","chr4:112904514-113151080"
"512","chr1:174202309-174233925"
"513","chr1:174877605-174957457"
"514","chr15:49170358-49201162"
"515","chr19:44228963-44234755"
"516","chr10:93324567-93325826"
"517","chr19:7856068-7858191"
"518","chr19:7856068-7858191"
"519","chr3:118930275-118978458"
"520","chr4:186204240-186204305"
"521","chr5:151787794-151790323"
"522","chr5:151786715-151787765"
"523","chr5:181203640-181204022"
"524","chr7:47880822-47881909"
"525","chr17:42810928-42812231"
"526","chr17:32209445-32224616"
"527","chr2:231113929-231124972"
"528","chr7:44999857-45063918"
"529","chr2:169584497-169603642"
"530","chr2:169584497-169603642"
"531","chr4:75914338-75914908"
"532","chr12:32576449-32580082"
"533","chr18:62348249-62348709"
"534","chr1:28914768-28987431"
"535","chr4:185462708-185462994"
"536","chr1:1308720-1309086"
"537","chr1:1308720-1309086"
"538","chrX:53943402-53944134"
"539","chr1:145671489-145672730"
"540","chr4:17845901-17886068"
"541","chr7:137928366-137935870"
"542","chr19:1510917-1511076"
"543","chr10:76324485-76557209"
"544","chr6:151405027-151435305"
"545","chr1:43992004-43992523"
"546","chr16:683909-684234"
"547","chr15:48591736-48591772"
"548","chr2:17754345-17759929"
"549","chr22:18907086-18910172"
"550","chr22:31488745-31489391"
"551","chr4:112607937-112609379"
"552","chr2:269347-270287"
"553","chr2:8958642-8987653"
"554","chrX:46463308-46471142"
"555","chr21:37367628-37415490"
"556","chr22:23764902-23765721"
"557","chr4:141053731-141212794"
"558","chr19:7169831-7170537"
"559","chr18:58710072-58714083"
"560","chr17:54937577-54938924"
"561","chr9:94919956-94923986"
"562","chr1:111137586-111139588"
"563","chr1:111137586-111140038"
"564","chr1:111137586-111140038"
"565","chr1:111137586-111139588"
"566","chr1:1489274-1490257"
"567","chr14:88615854-88616142"
"568","chr14:88616242-88616726"
"569","chr16:67992193-67999375"
"570","chr9:95850292-95875865"
"571","chr9:122039368-122040374"
"572","chr19:57804064-57813294"
"573","chr1:26181941-26182361"
"574","chr1:224435187-224459197"
"575","chr9:128068580-128101096"
"576","chr11:31473786-31509519"
"577","chr11:110131106-110136663"
"578","chr16:67395566-67395776"
"579","chr3:45985235-45985532"
"580","chr3:45985235-45989385"
"581","chr3:45985022-45985152"
"582","chr4:2745535-2746029"
"583","chr22:50190648-50193027"
"584","chr3:129828508-129832774"
"585","chr12:53227687-53229911"
"586","chr1:46814315-46815073"
"587","chr1:46815075-46815079"
"588","chr1:46810949-46812496"
"589","chr7:105665288-105677946"
"590","chr2:48451076-48454556"
"591","chr17:50461885-50462184"
"592","chr18:47100356-47100866"
"593","chr8:140766887-140789474"
"594","chr13:45344446-45377061"
"595","chr13:45380974-45383662"
"596","chr3:49469055-49487254"
"597","chr17:82198422-82201672"
"598","chr17:82183932-82184958"
"599","chr15:75358620-75358642"
"600","chr10:73256416-73274433"
"601","chr10:73293388-73297042"
"602","chr9:127896332-127905207"
"603","chr7:99486963-99494071"
"604","chr1:205308733-205311704"
"605","chrY:14622591-14723117"
"606","chrY:14622591-14723117"
"607","chr16:74628666-74632523"
"608","chr18:13465111-13484037"
"609","chr8:60208919-60265925"
"610","chr8:66043611-66051531"
"611","chr10:110132400-110133326"
"612","chr11:113271876-113272933"
"613","chr3:24297371-24318358"
"614","chr4:184697803-184702089"
"615","chr2:33476707-33511710"
"616","chr18:6244588-6301903"
"617","chr7:55521130-55538613"
"618","chr21:46391376-46397265"
"619","chr2:218679667-218679893"
"620","chr10:73576361-73591278"
"621","chr3:45943540-45946461"
"622","chr3:45943540-45946461"
"623","chr15:34407735-34437398"
"624","chr21:15031246-15031297"
"625","chr1:144995200-145067212"
"626","chr17:18858562-18865469"
"627","chr11:85285365-85379139"
"628","chr7:70435781-70698569"
"629","chr3:186804724-186806425"
"630","chr7:100050836-100051478"
"631","chr15:81188403-81225299"
"632","chr3:52679726-52685436"
"633","chr10:101407533-101430345"
"634","chr1:59310176-59339958"
"635","chr1:59515795-59554124"
"636","chr15:41897521-41898167"
"637","chr4:112637239-112644425"
"638","chr21:37157214-37158131"
"639","chr4:113547716-113548657"
"640","chr7:56042643-56051138"
"641","chr4:129096209-129102602"
"642","chr1:228264159-228268574"
"643","chr2:178654207-178658468"
"644","chr2:178654207-178658468"
"645","chr8:17090584-17090874"
"646","chr16:31423192-31423352"
"647","chr16:31423648-31423845"
"648","chr16:31423958-31424102"
"649","chr16:31424203-31424467"
"650","chr16:31424577-31426015"
"651","chr3:114018868-114034925"
"652","chr8:11857940-11868001"
"653","chr17:42981074-42985651"
"654","chr17:42985656-42987256"
"655","chr5:127652512-127653317"
"656","chr12:11021694-11047020"
"657","chr6:28164901-28166501"
"658","chr11:1984685-1984850"
"659","chr11:1985641-1989826"
"660","chr2:88801310-88802712"
"661","chr2:88802866-88804379"
"662","chr3:50298083-50299213"
"663","chr3:50298083-50299213"
"664","chr15:20670070-20671113"
"665","chr6:22146751-22147040"
"666","chr17:33936822-33984187"
"667","chr17:33936822-33984187"
"668","chr5:1581350-1581485"
"669","chr16:1607297-1609401"
"670","chr19:36202050-36214888"
"671","chr18:55351003-55401001"
"672","chr22:25070416-25170820"
"673","chr18:5293327-5294801"
"674","chr13:33275850-33279571"
"675","chr13:33277696-33279461"
"676","chr13:33277696-33279533"
"677","chr13:33277696-33281029"
"678","chr13:33277696-33279461"
"679","chr13:33277696-33279533"
"680","chr13:33275850-33279571"
"681","chr13:33277696-33281029"
"682","chr7:128576877-128577103"
"683","chr7:128576607-128576833"
"684","chr8:56520567-56559453"
"685","chr8:56520567-56559453"
"686","chr7:72639862-72694687"
"687","chr2:219492753-219496355"
"688","chr16:29569328-29613103"
"689","chr15:99733028-99733345"
"690","chr15:99733028-99733345"
"691","chr11:72727172-72752328"
"692","chr19:54666749-54667873"
"693","chr19:54666749-54667873"
"694","chr3:28291954-28316333"
"695","chr10:73498867-73499595"
"696","chrX:63432491-63469512"
"697","chr5:88947865-88948136"
"698","chr5:89150595-89168250"
"699","chr4:120067001-120150543"
"700","chr11:62572742-62574677"
"701","chr11:123726991-123728133"
"702","chr15:22812253-22814083"
"703","chr3:46679287-46679868"
"704","chr3:114958843-114961923"
"705","chr14:85533993-85561190"
"706","chr14:85533993-85561190"
"707","chr17:35106481-35119111"
"708","chr17:35106481-35119111"
"709","chr1:63551215-63555358"
"710","chr7:7640828-7673325"
"711","chr7:7788864-7796272"
"712","chr7:7640828-7673325"
"713","chr11:33040387-33043750"
"714","chr2:27627917-27628390"
"715","chr10:45847954-45853655"
"716","chr8:94405692-94407439"
"717","chr19:58246794-58274366"
"718","chrX:73944465-73994840"
"719","chrX:73944465-73994840"
"720","chr2:95832710-95833735"
"721","chr1:39556738-39559216"
"722","chr1:39554392-39559216"
"723","chr14:70205234-70209490"
"724","chr15:87433233-87495974"
"725","chr2:131722648-131723529"
"726","chr14:104941806-104946757"
"727","chr14:104948241-104949232"
"728","chr14:104947419-104950390"
"729","chr14:104944890-104945386"
"730","chr19:57474421-57477277"
"731","chr1:197903119-197905796"
"732","chr6:57172810-57174203"
"733","chr3:73623729-73623858"
"734","chr4:185471760-185483365"
"735","chr11:94706597-94707288"
"736","chr16:2669561-2671024"
"737","chr17:36535601-36537094"
"738","chr1:188889-195263"
"739","chr3:42089932-42091446"
"740","chr1:76295814-76313805"
"741","chr19:57850071-57853776"
"742","chr6:130018664-130020663"
"743","chr6:130020668-130022227"
"744","chr7:45724023-45726184"
"745","chr7:130912152-130912951"
"746","chr1:3739407-3739836"
"747","chr9:3528722-3546778"
"748","chr13:113833579-113834390"
"749","chr19:20545053-20545558"
"750","chr16:16316262-16316724"
"751","chr16:16323840-16324384"
"752","chr16:16316262-16316724"
"753","chr5:137888288-137889147"
"754","chr4:143178096-143184508"
"755","chr19:39685652-39685773"
"756","chr9:137354105-137354339"
"757","chr9:137354377-137354567"
"758","chr17:413803-413924"
"759","chr14:22879084-22879119"
"760","chr2:74372948-74374323"
"761","chr6:29890296-29890390"
"762","chr4:99654679-99657495"
"763","chr18:3242639-3246075"
"764","chr17:35844818-35844840"
"765","chr15:83127477-83193006"
"766","chr8:42463090-42464571"
"767","chr13:114056658-114057229"
"768","chr1:37861910-37898570"
"769","chr16:2264760-2267663"
"770","chr7:100220028-100220114"
"771","chr7:100220464-100220547"
"772","chr7:100220673-100220760"
"773","chr7:100220820-100220928"
"774","chr14:50000329-50000444"
"775","chr14:50000330-50000443"
"776","chr14:49992873-49993003"
"777","chr10:125707759-125719422"
"778","chr2:134869041-134918563"
"779","chr2:162047498-162073399"
"780","chr2:162047498-162073399"
"781","chr9:111005539-111009148"
"782","chr15:90967202-90969447"
"783","chr2:55329713-55339503"
"784","chr8:41661941-41663558"
"785","chr1:148137809-148140512"
"786","chr9:17166-17370"
"787","chr16:14917611-14918073"
"788","chr16:14919428-14919900"
"789","chr16:14917611-14918073"
"790","chr19:9338017-9338494"
"791","chr11:65636031-65636174"
"792","chr12:93501028-93501905"
"793","chr19:52800000-52840870"
"794","chr15:32524600-32528532"
"795","chr2:218061437-218065508"
"796","chr5:81236122-81301287"
"797","chr5:81246972-81250703"
"798","chr17:64482999-64483964"
"799","chr17:44177816-44181623"
"800","chr21:8208074-8215304"
"801","chr21:8209893-8209961"
"802","chr21:8210309-8215399"
"803","chr21:8214171-8215106"
"804","chr21:8214218-8214424"
"805","chr21:8214358-8214623"
"806","chr11:74851203-74906239"
"807","chr11:74851203-74906239"
"808","chr2:54123410-54135453"
"809","chr5:115980022-115983287"
"810","chr13:35096101-35098297"
"811","chr14:64465613-64468132"
"812","chr2:151598436-151608987"
"813","chr6:49552570-49552977"
"814","chr15:63599196-63600697"
"815","chr12:111965759-111991758"
"816","chr12:111991889-112002440"
"817","chr2:43098040-43132370"
"818","chr5:132365129-132365764"
"819","chrX:38561627-38641399"
"820","chr9:37848965-37881518"
"821","chr12:53299129-53300143"
"822","chr17:29074914-29082316"
"823","chr17:29082438-29086438"
"824","chr7:64815044-64830940"
"825","chr20:63736712-63737533"
"826","chr20:63736712-63737533"
"827","chr1:197715074-197735586"
"828","chr19:12092470-12093836"
"829","chr14:100955949-100958262"
"830","chr14:100958343-100963965"
"831","chr14:100958343-100963965"
"832","chr19:36315528-36315957"
"833","chr10:18651470-18655025"
"834","chr10:18651470-18655025"
"835","chr1:168165-168610"
"836","chr5:128062500-128064737"
"837","chr5:128061244-128064737"
"838","chr5:128062500-128064737"
"839","chr1:148567805-148569348"
"840","chr1:148586854-148593152"
"841","chr2:74455175-74455405"
"842","chr22:18535949-18536552"
"843","chr1:120499146-120501110"
"844","chr10:38403324-38407631"
"845","chr10:38403324-38407631"
"846","chr6:99531790-99550226"
"847","chr7:7788864-7796272"
"848","chr7:78343961-78345443"
"849","chr2:11561458-11584830"
"850","chr1:23397955-23417249"
"851","chr6:29727004-29727957"
"852","chr6:29727004-29727957"
"853","chr1:733206-736613"
"854","chr4:105171400-105171587"
"855","chr1:146986431-146989654"
"856","chr1:146989746-146991995"
"857","chr1:146136455-146144595"
"858","chr1:146136455-146144595"
"859","chr7:66423878-66427949"
"860","chr7:66399795-66400923"
"861","chr7:66467719-66479009"
"862","chr7:66491471-66493216"
"863","chrY:57207668-57208214"
"864","chrY:57207668-57208214"
"865","chr3:134486202-134488019"
"866","chr19:15696102-15696430"
"867","chr1:92102669-92129687"
"868","chr6:33442494-33442889"
"869","chr12:88053746-88055576"
"870","chr12:88053746-88055576"
"871","chr21:16616670-16619988"
"872","chr1:32240847-32241137"
"873","chr10:87326672-87328193"
"874","chr10:87328279-87330892"
"875","chr9:96687324-96773460"
"876","chr10:42525660-42550557"
