#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000650403.1	167	0.30594	9.38519287109	1	0.530601	coding
ENST00000368405.7	113	0.27327	9.65911865234	1	0.111806	noncoding
ENST00000488609.5	215	0.35107	9.80145263672	1	0.955093	coding
ENST00000506037.1	74	0.39421	6.68792724609	1	0.0947924	noncoding
ENST00000484027.1	100	0.34836	7.73675537109	1	0.168287	noncoding
ENST00000479579.1	100	0.39187	7.73675537109	1	0.279904	noncoding
ENST00000470342.5	101	0.45947	9.07061767578	1	0.573201	coding
ENST00000368254.6	126	0.42233	9.18353271484	1	0.725354	coding
ENST00000466306.5	101	0.47789	9.07061767578	1	0.651345	coding
ENST00000368251.1	126	0.47222	9.18353271484	1	0.883786	coding
ENST00000497019.7	496	0.45402	6.19232177734	1	1	coding
ENST00000530298.5	486	0.42455	5.71112060547	1	1	coding
ENST00000368196.7	817	0.44335	6.24554443359	1	1	coding
ENST00000524377.7	797	0.44794	6.16790771484	1	1	coding
ENST00000533630.1	121	0.38854	8.51361083984	1	0.516641	coding
ENST00000675461.1	150	0.32441	9.56756591797	1	0.470012	noncoding
ENST00000534682.1	77	0.38549	6.15985107422	-1	0.0359367	noncoding
ENST00000318289.14	110	0.4349	5.80584716797	1	0.700208	coding
ENST00000368023.7	123	0.42696	6.58917236328	1	0.777885	coding
ENST00000423014.3	138	0.45295	9.78961181641	1	0.910892	coding
ENST00000368024.5	97	0.41979	9.57269287109	1	0.350361	noncoding
ENST00000466967.1	63	0.42093	6.55316162109	1	0.0688531	noncoding
ENST00000486084.1	96	0.3347	5.70526123047	-1	0.0613139	noncoding
ENST00000476240.1	14	0.4255	3.99884033203	-1	0.012335	noncoding
ENST00000367925.6	523	0.42061	5.92205810547	1	1	coding
ENST00000367926.9	506	0.41676	5.96014404297	1	1	coding
ENST00000474728.1	28	0.46175	6.49493408203	1	0.00988805	noncoding
ENST00000486089.1	32	0.37499	9.40045166016	1	0.0116601	noncoding
ENST00000359523.7	270	0.32346	8.84808349609	1	0.992353	coding
ENST00000448405.5	96	0.29816	8.58819580078	1	0.0837714	noncoding
ENST00000392121.7	148	0.34391	7.66619873047	1	0.668817	coding
ENST00000474859.5	210	0.46012	8.81512451172	1	0.99875	coding
ENST00000474729.5	146	0.45051	9.12066650391	1	0.937718	coding
ENST00000367853.3	86	0.43085	9.25042724609	1	0.260119	noncoding
ENST00000367816.5	304	0.33349	8.73760986328	1	0.998939	coding
ENST00000690184.1	304	0.45622	8.73760986328	1	0.999995	coding
ENST00000367815.9	304	0.3543	8.73760986328	1	0.99962	coding
ENST00000686702.1	248	0.36068	7.48651123047	1	0.998338	coding
ENST00000417354.3	47	0.31953	6.68646240234	1	0.0134173	noncoding
ENST00000650013.1	55	0.32472	10.1709594727	1	0.0284358	noncoding
ENST00000648909.1	93	0.36922	10.4956665039	1	0.16027	noncoding
ENST00000650189.1	19	0.39735	11.6990356445	1	0.0116137	noncoding
ENST00000650416.1	15	0.3645	9.69708251953	1	0.00580427	noncoding
ENST00000367657.7	1229	0.44976	5.02423095703	1	1	coding
ENST00000361833.7	1295	0.39057	5.03533935547	1	1	coding
ENST00000424564.2	1217	0.45559	5.00445556641	1	1	coding
ENST00000281881.7	863	0.46083	5.22308349609	1	1	coding
ENST00000417584.6	374	0.34013	6.42840576172	1	0.999998	coding
ENST00000339526.8	374	0.32633	6.42840576172	1	0.999996	coding
ENST00000463851.6	212	0.42067	6.70599365234	1	0.998743	coding
ENST00000489818.5	167	0.39257	8.55401611328	1	0.929347	coding
ENST00000367433.9	1112	0.3428	7.48260498047	1	1	coding
ENST00000294725.14	1136	0.3554	6.97271728516	1	1	coding
ENST00000647658.1	772	0.38135	6.72528076172	1	1	coding
ENST00000609185.5	1069	0.41526	8.10015869141	1	1	coding
ENST00000451324.6	371	0.41152	6.23431396484	1	1	coding
ENST00000610076.1	1053	0.40238	8.49505615234	1	1	coding
ENST00000466914.2	149	0.42295	8.64117431641	1	0.908657	coding
ENST00000673703.1	87	0.33447	11.9078979492	1	0.0695626	noncoding
ENST00000685211.1	2165	0.38497	8.92889404297	1	1	coding
ENST00000367302.5	1831	0.39829	8.37164306641	1	1	coding
ENST00000367296.8	1878	0.39883	8.19610595703	1	1	coding
ENST00000367295.5	1484	0.35573	8.61041259766	1	1	coding
ENST00000430015.5	705	0.48548	9.72528076172	-1	0.997063	coding
ENST00000438083.1	193	0.45559	9.57110595703	-1	0.2848	noncoding
ENST00000414487.7	93	0.3795	9.46063232422	1	0.181587	noncoding
ENST00000483099.5	53	0.29959	5.63616943359	1	0.0258498	noncoding
ENST00000475035.5	85	0.38068	7.89422607422	1	0.124874	noncoding
ENST00000470492.5	53	0.4266	5.63616943359	1	0.0520578	noncoding
ENST00000469451.1	61	0.41057	5.76348876953	-1	0.0251052	noncoding
ENST00000367208.1	53	0.42224	5.63616943359	1	0.0503418	noncoding
ENST00000391947.6	141	0.29268	9.66326904297	1	0.257845	noncoding
ENST00000454264.6	441	0.28584	5.08599853516	1	1	coding
ENST00000470797.5	141	0.34812	9.18243408203	1	0.528829	coding
ENST00000367182.8	491	0.28584	4.85418701172	1	1	coding
ENST00000470908.5	141	0.39945	9.66326904297	1	0.767443	coding
ENST00000507825.3	141	0.4021	9.66326904297	1	0.77838	coding
ENST00000367179.7	213	0.44353	4.28533935547	-1	0.393106	noncoding
ENST00000462012.1	105	0.34931	4.40887451172	-1	0.04585	noncoding
ENST00000444261.1	25	0.48849	12.0000610352	1	0.0674009	noncoding
ENST00000339876.11	1343	0.39443	6.10418701172	1	1	coding
ENST00000403080.5	620	0.47114	8.25128173828	1	1	coding
ENST00000493914.5	46	0.35164	5.82037353516	1	0.016747	noncoding
ENST00000401399.5	1241	0.39443	5.81085205078	1	1	coding
ENST00000367173.7	981	0.46619	5.79901123047	1	1	coding
ENST00000512826.5	827	0.40166	8.78997802734	1	1	coding
ENST00000471392.1	134	0.42381	9.25518798828	1	0.807469	coding
ENST00000425360.5	213	0.39661	4.54180908203	1	0.999653	coding
ENST00000492085.1	210	0.36118	5.34625244141	1	0.997591	coding
ENST00000413225.5	120	0.47209	4.53070068359	-1	0.112463	noncoding
ENST00000447819.1	145	0.40097	12.1815795898	1	0.569053	coding
ENST00000503221.1	145	0.27599	12.1815795898	1	0.118077	noncoding
ENST00000367021.8	468	0.38034	5.17852783203	1	1	coding
ENST00000542854.5	373	0.37569	4.65386962891	1	1	coding
ENST00000643798.1	296	0.35168	5.26397705078	1	0.999982	coding
ENST00000456314.1	276	0.44951	4.76239013672	-1	0.645725	coding
ENST00000464698.1	119	0.37147	4.22650146484	-1	0.0539576	noncoding
ENST00000367006.8	437	0.41878	6.25274658203	1	1	coding
ENST00000419091.7	554	0.39412	6.75433349609	1	1	coding
ENST00000452621.6	450	0.45881	5.71966552734	1	1	coding
ENST00000472734.1	62	0.38376	6.07171630859	1	0.0507675	noncoding
ENST00000529572.5	105	0.34268	6.57965087891	-1	0.0758547	noncoding
ENST00000367005.8	496	0.3972	8.25701904297	1	1	coding
ENST00000485186.1	62	0.32653	8.06634521484	1	0.0262819	noncoding
ENST00000486666.5	58	0.29448	9.69268798828	1	0.026773	noncoding
ENST00000528066.1	32	0.41839	6.04779052734	1	0.0112487	noncoding
ENST00000526255.1	43	0.44543	12.1810913086	1	0.0498441	noncoding
ENST00000460522.5	114	0.23537	6.57501220703	1	0.319205	noncoding
ENST00000366927.3	222	0.31259	7.14215087891	1	0.975985	coding
ENST00000366928.10	238	0.31259	7.71221923828	1	0.981648	coding
ENST00000463964.5	209	0.27508	6.70111083984	1	0.932762	coding
ENST00000483635.5	200	0.36749	6.70123291016	1	0.989479	coding
ENST00000478794.5	134	0.45209	7.73870849609	-1	0.0987041	noncoding
ENST00000481007.1	123	0.41307	6.57501220703	1	0.740657	coding
ENST00000622033.4	25	0.37982	7.97601318359	1	0.00560961	noncoding
ENST00000618315.4	72	0.41322	6.51324462891	1	0.10799	noncoding
ENST00000449219.2	48	0.44499	4.74871826172	1	0.0650625	noncoding
ENST00000572124.2	80	0.27919	5.61346435547	-1	0.112694	noncoding
ENST00000540997.2	169	0.29347	9.32659912109	1	0.482578	noncoding
ENST00000608949.5	90	0.34821	8.80072021484	1	0.107573	noncoding
ENST00000465266.1	90	0.41081	8.80072021484	1	0.229994	noncoding
ENST00000343776.10	526	0.32546	9.35675048828	1	0.999999	coding
ENST00000440339.1	227	0.3998	9.26239013672	-1	0.261929	noncoding
ENST00000397097.4	526	0.32546	9.35675048828	1	0.999999	coding
ENST00000318906.6	250	0.38091	9.54986572266	1	0.997279	coding
ENST00000366651.7	293	0.45342	9.87982177734	1	0.99998	coding
ENST00000366649.7	294	0.45342	9.87982177734	1	0.999981	coding
ENST00000451322.1	212	0.4678	10.2373657227	1	0.998834	coding
ENST00000462669.1	73	0.31692	6.13934326172	1	0.0540893	noncoding
ENST00000495795.1	45	0.47916	9.61199951172	1	0.0830188	noncoding
ENST00000493477.2	435	0.45579	6.90447998047	1	1	coding
ENST00000684161.1	317	0.42444	7.76336669922	1	0.999996	coding
ENST00000366560.4	511	0.43684	8.84991455078	1	1	coding
ENST00000497042.1	69	0.41695	5.39898681641	1	0.139292	noncoding
ENST00000656939.1	110	0.2884	6.81463623047	1	0.187204	noncoding
ENST00000671571.1	59	0.33411	9.86944580078	1	0.0322855	noncoding
ENST00000320892.11	293	0.30175	5.90728759766	1	0.999668	coding
ENST00000432850.1	238	0.42611	5.77020263672	1	0.999892	coding
ENST00000238081.8	246	0.39446	4.68341064453	1	0.999951	coding
ENST00000381844.8	246	0.37356	4.68341064453	1	0.999907	coding
ENST00000474715.1	126	0.45469	4.18658447266	1	0.957201	coding
ENST00000446619.1	149	0.45396	5.68914794922	-1	0.119571	noncoding
ENST00000446425.2	56	0.3886	9.77008056641	1	0.0429663	noncoding
ENST00000404924.5	260	0.42278	5.91278076172	1	0.999969	coding
ENST00000309033.5	260	0.32477	5.91278076172	1	0.999212	coding
ENST00000380991.8	81	0.36456	9.18304443359	1	0.0914654	noncoding
ENST00000438630.5	58	0.26913	9.03485107422	1	0.0257598	noncoding
ENST00000380986.9	109	0.37079	8.61895751953	1	0.294068	noncoding
ENST00000496149.5	155	0.35477	6.16888427734	1	0.883758	coding
ENST00000452109.1	80	0.30608	8.88885498047	1	0.0507915	noncoding
ENST00000421839.1	80	0.35621	8.88885498047	1	0.0779818	noncoding
ENST00000406818.8	628	0.46415	8.11077880859	1	1	coding
ENST00000407038.7	568	0.44029	7.90850830078	1	1	coding
ENST00000407661.7	610	0.46079	8.70684814453	1	1	coding
ENST00000407186.5	591	0.44365	8.44122314453	1	1	coding
ENST00000485845.5	559	0.46419	8.81817626953	1	1	coding
ENST00000493538.5	124	0.35877	9.29693603516	1	0.392704	noncoding
ENST00000493386.5	151	0.35014	7.07403564453	1	0.77482	coding
ENST00000472690.5	148	0.41798	7.08868408203	-1	0.0997389	noncoding
ENST00000486826.1	89	0.40243	5.85552978516	-1	0.0388832	noncoding
ENST00000264710.5	201	0.31852	8.58343505859	1	0.888217	coding
ENST00000495146.5	93	0.44404	6.72332763672	1	0.375108	noncoding
ENST00000473035.1	119	0.48254	6.12908935547	1	0.808444	coding
ENST00000409566.1	129	0.40724	4.98565673828	1	0.906	coding
ENST00000281950.8	168	0.31208	5.02044677734	1	0.939986	coding
ENST00000460072.5	245	0.37386	5.09027099609	1	0.99985	coding
ENST00000505747.6	504	0.48178	7.91607666016	1	1	coding
ENST00000378727.8	304	0.38022	8.94329833984	1	0.999868	coding
ENST00000530522.1	395	0.46453	5.94366455078	1	1	coding
ENST00000530095.1	111	0.40857	8.36358642578	1	0.475762	noncoding
ENST00000510781.2	291	0.39386	9.15118408203	1	0.999838	coding
ENST00000405592.5	538	0.30846	8.71673583984	1	0.999999	coding
ENST00000407270.7	516	0.36665	8.46014404297	1	1	coding
ENST00000405094.2	595	0.30684	8.80438232422	1	1	coding
ENST00000406911.5	515	0.39879	8.46014404297	1	1	coding
ENST00000409019.5	591	0.42035	9.01544189453	1	1	coding
ENST00000493983.1	63	0.41339	6.02276611328	1	0.0739801	noncoding
ENST00000472767.5	119	0.37812	10.3453979492	1	0.402217	noncoding
ENST00000482875.5	119	0.32103	10.3453979492	1	0.196022	noncoding
ENST00000467925.5	149	0.33595	8.13873291016	1	0.608975	coding
ENST00000478602.1	42	0.39943	9.02093505859	1	0.0203477	noncoding
ENST00000444100.2	64	0.32322	10.9400024414	1	0.0408816	noncoding
ENST00000401576.1	37	0.36109	8.51727294922	1	0.0106687	noncoding
ENST00000472678.1	140	0.45221	9.69146728516	-1	0.181868	noncoding
ENST00000295030.6	404	0.33754	7.76507568359	1	0.999997	coding
ENST00000414712.2	55	0.36241	9.30194091797	1	0.0296542	noncoding
ENST00000409559.7	129	0.46946	5.09686279297	1	0.931787	coding
ENST00000263655.4	165	0.34636	7.72479248047	1	0.830815	coding
ENST00000481714.1	57	0.32954	6.02703857422	1	0.0260018	noncoding
ENST00000409862.1	138	0.35878	9.40875244141	1	0.543919	coding
ENST00000272427.11	812	0.41596	6.02740478516	1	1	coding
ENST00000471335.5	46	0.3548	9.00823974609	1	0.0176877	noncoding
ENST00000634650.1	816	0.48785	6.02874755859	1	1	coding
ENST00000410104.1	682	0.39311	5.86907958984	1	1	coding
ENST00000485398.1	75	0.33782	6.50750732422	1	0.0594709	noncoding
ENST00000165698.9	202	0.34035	9.51751708984	1	0.912866	coding
ENST00000689156.1	163	0.37362	9.67230224609	1	0.831112	coding
ENST00000541910.6	144	0.43804	10.0259399414	1	0.904635	coding
ENST00000453231.6	209	0.38933	9.49725341797	1	0.986243	coding
ENST00000489855.2	131	0.33639	9.07952880859	1	0.367237	noncoding
ENST00000609777.6	87	0.39359	7.82733154297	1	0.160378	noncoding
ENST00000692653.1	60	0.38014	8.88983154297	1	0.0402536	noncoding
ENST00000608501.5	75	0.38355	11.3319702148	1	0.0918726	noncoding
ENST00000544283.5	73	0.34511	9.46453857422	1	0.0558398	noncoding
ENST00000689711.1	74	0.36825	6.47845458984	-1	0.0420381	noncoding
ENST00000687292.1	112	0.41868	5.23590087891	1	0.756524	coding
ENST00000608018.5	73	0.35849	6.37371826172	-1	0.044168	noncoding
