.id,gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,color_gene_name,alpha_gene_name,label_junction
Control_Control,ANKIB1,ENSG00000001629.10,ENSG00000001629.10:t:92327783-92327900,0.0019,0.001,3,4,0,chr7,+,ENSG00000001629.10:t:92327783-92327900_92326008-92327783,92326008,92327783,NA,NA,chr7:92326008-92327783,target,Delta PSI > 0.05,0,
Control_Control,VPS50,ENSG00000004766.17,ENSG00000004766.17:s:93348711-93348807,0.0037,0.0026,2,2,0,chr7,+,ENSG00000004766.17:s:93348711-93348807_93348807-93349879,93348807,93349879,NA,NA,chr7:93348807-93349879,source,Delta PSI < 0.05,0,
Control_Control,VPS50,ENSG00000004766.17,ENSG00000004766.17:t:93323250-93323732,0.0371,0.0534,2,3,0,chr7,+,ENSG00000004766.17:t:93323250-93323732_93321170-93323611,93321170,93323611,NA,NA,chr7:93321170-93323611,target,Delta PSI > 0.05,0,
Control_Control,MCUB,ENSG00000005059.16,ENSG00000005059.16:t:109659011-109659086,0.0083,0.0125,3,4,1,chr4,+,ENSG00000005059.16:t:109659011-109659086_109561017-109659011,109561017,109659011,NA,NA,chr4:109561017-109659011,target,Delta PSI < 0.05,0,
Control_Control,MCUB,ENSG00000005059.16,ENSG00000005059.16:t:109685251-109685367,0.0376,0.0512,3,3,1,chr4,+,ENSG00000005059.16:t:109685251-109685367_109684549-109685251,109684549,109685251,NA,NA,chr4:109684549-109685251,target,Delta PSI > 0.05,0,
Control_Control,RPAP3,ENSG00000005175.10,ENSG00000005175.10:s:47689125-47689195,0.0028,0.0013,2,2,1,chr12,-,ENSG00000005175.10:s:47689125-47689195_47688021-47689125,47688021,47689125,NA,NA,chr12:47688021-47689125,source,Delta PSI > 0.05,0,
Control_Control,RPAP3,ENSG00000005175.10,ENSG00000005175.10:t:47670107-47670345,0.0015,0.0014,5,3,1,chr12,-,ENSG00000005175.10:t:47670107-47670345_47670221-47679493,47670221,47679493,NA,NA,chr12:47670221-47679493,target,Delta PSI > 0.05,0,
Control_Control,COPZ2,ENSG00000005243.10,ENSG00000005243.10:t:48032686-48032741,0.0278,0.0361,2,3,0,chr17,-,ENSG00000005243.10:t:48032686-48032741_48032741-48033863,48032741,48033863,NA,NA,chr17:48032741-48033863,target,Delta PSI > 0.05,0,
Control_Control,MTMR7,ENSG00000003987.14,ENSG00000003987.14:t:17301651-17302423,0.0121,0.0147,2,3,1,chr8,-,ENSG00000003987.14:t:17301651-17302423_17302423-17307737,17302423,17307737,NA,NA,chr8:17302423-17307737,target,Delta PSI > 0.05,0,
Control_Control,PLXND1,ENSG00000004399.13,ENSG00000004399.13:s:129573594-129573745,0.0163,0.0257,3,3,1,chr3,-,ENSG00000004399.13:s:129573594-129573745_129573185-129573594,129573185,129573594,NA,NA,chr3:129573185-129573594,source,Delta PSI > 0.05,0,
Control_Control,ARHGAP33,ENSG00000004777.18,ENSG00000004777.18:s:35785409-35785483,0.0078,0.0237,3,3,0,chr19,+,ENSG00000004777.18:s:35785409-35785483_35785483-35786896,35785483,35786896,35785484,35786412,chr19:35785483-35786896,source,Delta PSI > 0.05,0,
Control_Control,SLC25A13,ENSG00000004864.14,ENSG00000004864.14:s:96171472-96171524,0.0019,4e-04,2,2,1,chr7,-,ENSG00000004864.14:s:96171472-96171524_96170149-96171472,96170149,96171472,NA,NA,chr7:96170149-96171472,source,Delta PSI > 0.05,0,
Control_Control,CDC27,ENSG00000004897.12,ENSG00000004897.12:s:47157230-47157384,0.0026,0.0022,3,3,1,chr17,-,ENSG00000004897.12:s:47157230-47157384_47157140-47157230,47157140,47157230,NA,NA,chr17:47157140-47157230,source,Delta PSI > 0.05,0,
Control_Control,FAM214B,ENSG00000005238.20,ENSG00000005238.20:t:35108594-35108737,0.0031,0.0065,8,5,1,chr9,-,ENSG00000005238.20:t:35108594-35108737_35108737-35111567,35108737,35111567,NA,NA,chr9:35108737-35111567,target,Delta PSI > 0.05,0,
Control_Control,CROT,ENSG00000005469.12,ENSG00000005469.12:s:87349048-87349183,0.0417,0.0596,2,3,0,chr7,+,ENSG00000005469.12:s:87349048-87349183_87349183-87357507,87349183,87357507,NA,NA,chr7:87349183-87357507,source,Delta PSI < 0.05,0,
Control_Control,KMT2E,ENSG00000005483.21,ENSG00000005483.21:t:105090009-105090126,0.0059,0.0061,2,3,1,chr7,+,ENSG00000005483.21:t:105090009-105090126_105089361-105090009,105089361,105090009,NA,NA,chr7:105089361-105090009,target,Delta PSI > 0.05,0,
Control_Control,PDK2,ENSG00000005882.12,ENSG00000005882.12:s:50097513-50097796,0.006,0.0058,2,2,1,chr17,+,ENSG00000005882.12:s:50097513-50097796_50097797-50104323,50097797,50104323,50097797,50104323,chr17:50097797-50104323,source,Delta PSI > 0.05,0,
Control_Control,ZNF195,ENSG00000005801.18,ENSG00000005801.18:s:3370943-3371147,0.0351,0.0256,13,11,0,chr11,-,ENSG00000005801.18:s:3370943-3371147_3363391-3370975,3363391,3370975,NA,NA,chr11:3363391-3370975,source,Delta PSI < 0.05,0,
Control_Control,ITGA3,ENSG00000005884.18,ENSG00000005884.18:s:50080262-50080375,0.0058,0.0055,2,3,0,chr17,+,ENSG00000005884.18:s:50080262-50080375_50080375-50081097,50080375,50081097,NA,NA,chr17:50080375-50081097,source,Delta PSI > 0.05,0,
Control_Control,ITGA3,ENSG00000005884.18,ENSG00000005884.18:t:50081310-50081408,0.0058,0.0055,2,3,0,chr17,+,ENSG00000005884.18:t:50081310-50081408_50081193-50081310,50081193,50081310,NA,NA,chr17:50081193-50081310,target,Delta PSI > 0.05,0,
Control_Control,ZFX,ENSG00000005889.16,ENSG00000005889.16:t:24179183-24179770,0.0351,0.032,5,6,0,chrX,+,ENSG00000005889.16:t:24179183-24179770_24177866-24179183,24177866,24179183,NA,NA,chrX:24177866-24179183,target,Delta PSI < 0.05,0,
Control_Control,TMEM132A,ENSG00000006118.15,ENSG00000006118.15:t:60926579-60926721,0.0047,0.0054,3,3,0,chr11,+,ENSG00000006118.15:t:60926579-60926721_60926084-60926579,60926084,60926579,60926085,60926578,chr11:60926084-60926579,target,Delta PSI > 0.05,0,
Control_Control,PHTF2,ENSG00000006576.16,ENSG00000006576.16:s:77901762-77901920,0.0086,0.01,2,3,1,chr7,+,ENSG00000006576.16:s:77901762-77901920_77901920-77907854,77901920,77907854,NA,NA,chr7:77901920-77907854,source,Delta PSI < 0.05,0,
Control_Control,PHTF2,ENSG00000006576.16,ENSG00000006576.16:t:77949678-77949833,0.0062,0.0083,3,3,1,chr7,+,ENSG00000006576.16:t:77949678-77949833_77943836-77949678,77943836,77949678,77942787,77949677,chr7:77943836-77949678,target,Delta PSI > 0.05,0,
Control_Control,MAP3K9,ENSG00000006432.16,ENSG00000006432.16:t:70732539-70733342,0.0385,0.0424,2,3,0,chr14,-,ENSG00000006432.16:t:70732539-70733342_70733342-70733757,70733342,70733757,NA,NA,chr14:70733342-70733757,target,Delta PSI > 0.05,0,
Control_Control,ETV1,ENSG00000006468.14,ENSG00000006468.14:t:13977427-13977480,0.0083,0.0123,3,4,0,chr7,-,ENSG00000006468.14:t:13977427-13977480_13977480-13986116,13977480,13986116,NA,NA,chr7:13977480-13986116,target,Delta PSI < 0.05,0,
Control_Control,FARP2,ENSG00000006607.14,ENSG00000006607.14:s:241431679-241431774,0.0089,0.0099,2,3,0,chr2,+,ENSG00000006607.14:s:241431679-241431774_241431774-241432211,241431774,241432211,NA,NA,chr2:241431774-241432211,source,Delta PSI > 0.05,0,
Control_Control,FARP2,ENSG00000006607.14,ENSG00000006607.14:t:241434158-241434187,0.0089,0.0099,2,3,1,chr2,+,ENSG00000006607.14:t:241434158-241434187_241432451-241434158,241432451,241434158,NA,NA,chr2:241432451-241434158,target,Delta PSI > 0.05,0,
Control_Control,IFRD1,ENSG00000006652.15,ENSG00000006652.15:s:112462270-112462378,5e-04,1e-04,6,4,0,chr7,+,ENSG00000006652.15:s:112462270-112462378_112462378-112465639,112462378,112465639,112462379,112465614,chr7:112462378-112465639,source,Delta PSI > 0.05,0,
Control_Control,IFRD1,ENSG00000006652.15,ENSG00000006652.15:t:112467377-112468115,7e-04,1e-04,4,5,0,chr7,+,ENSG00000006652.15:t:112467377-112468115_112465838-112467981,112465838,112467981,NA,NA,chr7:112465838-112467981,target,Delta PSI > 0.05,0,
Control_Control,IFRD1,ENSG00000006652.15,ENSG00000006652.15:t:112472219-112472347,0.0015,2e-04,2,3,0,chr7,+,ENSG00000006652.15:t:112472219-112472347_112471033-112472219,112471033,112472219,NA,NA,chr7:112471033-112472219,target,Delta PSI < 0.05,0,
Control_Control,GTF2IRD1,ENSG00000006704.11,ENSG00000006704.11:s:74512830-74512971,0.004,0.0043,3,3,0,chr7,+,ENSG00000006704.11:s:74512830-74512971_74512971-74515345,74512971,74515345,NA,NA,chr7:74512971-74515345,source,Delta PSI > 0.05,0,
Control_Control,ELAC2,ENSG00000006744.19,ENSG00000006744.19:s:13005753-13005825,0.0144,0.0137,4,2,1,chr17,-,ENSG00000006744.19:s:13005753-13005825_13005070-13005753,13005070,13005753,13005111,13005752,chr17:13005070-13005753,source,Delta PSI > 0.05,0,
Control_Control,KIAA0100,ENSG00000007202.15,ENSG00000007202.15:s:28642275-28642481,0.0044,0.0052,3,3,1,chr17,-,ENSG00000007202.15:s:28642275-28642481_28640683-28642275,28640683,28642275,NA,NA,chr17:28640683-28642275,source,Delta PSI > 0.05,0,
Control_Control,KIAA0100,ENSG00000007202.15,ENSG00000007202.15:t:28640397-28640683,0.0043,0.0064,5,3,1,chr17,-,ENSG00000007202.15:t:28640397-28640683_28640683-28642275,28640683,28642275,NA,NA,chr17:28640683-28642275,target,Delta PSI > 0.05,0,
Control_Control,MARK4,ENSG00000007047.15,ENSG00000007047.15:t:45299811-45299855,0.0038,0.0026,2,3,0,chr19,+,ENSG00000007047.15:t:45299811-45299855_45298222-45299811,45298222,45299811,NA,NA,chr19:45298222-45299811,target,Delta PSI < 0.05,0,
Control_Control,ST7L,ENSG00000007341.19,ENSG00000007341.19:t:112555868-112556018,0.0125,0.0276,5,6,1,chr1,-,ENSG00000007341.19:t:112555868-112556018_112556018-112569833,112556018,112569833,NA,NA,chr1:112556018-112569833,target,Delta PSI > 0.05,0,
Control_Control,ST7L,ENSG00000007341.19,ENSG00000007341.19:t:112616813-112617286,0.0013,0.002,8,6,0,chr1,-,ENSG00000007341.19:t:112616813-112617286_112616844-112618909,112616844,112618909,NA,NA,chr1:112616844-112618909,target,Delta PSI < 0.05,0,
Control_Control,PIGQ,ENSG00000007541.17,ENSG00000007541.17:t:579069-579180,0.0105,0.0113,4,3,0,chr16,+,ENSG00000007541.17:t:579069-579180_578505-579069,578505,579069,NA,NA,chr16:578505-579069,target,Delta PSI > 0.05,0,
Control_Control,NADK,ENSG00000008130.15,ENSG00000008130.15:t:1751232-1753081,0.0011,0.001,6,4,1,chr1,-,ENSG00000008130.15:t:1751232-1753081_1753060-1754284,1753060,1754284,1753082,1753566,chr1:1753060-1754284,target,Delta PSI < 0.05,0,
Control_Control,CRAMP1,ENSG00000007545.16,ENSG00000007545.16:s:1670467-1670809,0.0096,0.0119,2,3,1,chr16,+,ENSG00000007545.16:s:1670467-1670809_1670809-1672317,1670809,1672317,NA,NA,chr16:1670809-1672317,source,Delta PSI < 0.05,0,
Control_Control,CRAMP1,ENSG00000007545.16,ENSG00000007545.16:t:1614639-1614985,0.0089,0.0154,4,4,1,chr16,+,ENSG00000007545.16:t:1614639-1614985_1613491-1614639,1613491,1614639,NA,NA,chr16:1613491-1614639,target,Delta PSI > 0.05,0,
Control_Control,CRAMP1,ENSG00000007545.16,ENSG00000007545.16:t:1673881-1677908,0.0096,0.0119,2,3,1,chr16,+,ENSG00000007545.16:t:1673881-1677908_1672371-1673881,1672371,1673881,NA,NA,chr16:1672371-1673881,target,Delta PSI > 0.05,0,
Control_Control,JARID2,ENSG00000008083.14,ENSG00000008083.14:s:15512915-15513045,0.0213,0.0295,2,3,1,chr6,+,ENSG00000008083.14:s:15512915-15513045_15513045-15517161,15513045,15517161,NA,NA,chr6:15513045-15517161,source,Delta PSI > 0.05,0,
Control_Control,JARID2,ENSG00000008083.14,ENSG00000008083.14:t:15517161-15517268,0.0075,0.0102,3,4,1,chr6,+,ENSG00000008083.14:t:15517161-15517268_15513045-15517161,15513045,15517161,NA,NA,chr6:15513045-15517161,target,Delta PSI > 0.05,0,
Control_Control,CDK11A,ENSG00000008128.23,ENSG00000008128.23:s:1719166-1719455,0.0053,0.0064,3,3,1,chr1,-,ENSG00000008128.23:s:1719166-1719455_1709640-1719358,1709640,1719358,NA,NA,chr1:1709640-1719358,source,Delta PSI < 0.05,0,
Control_Control,CDK11A,ENSG00000008128.23,ENSG00000008128.23:t:1709479-1709640,0.0013,7e-04,4,4,1,chr1,-,ENSG00000008128.23:t:1709479-1709640_1709640-1719358,1709640,1719358,1709641,1712263,chr1:1709640-1719358,target,Delta PSI < 0.05,0,
Control_Control,CYTH3,ENSG00000008256.16,ENSG00000008256.16:s:6173653-6173733,0.0164,0.0213,2,3,1,chr7,-,ENSG00000008256.16:s:6173653-6173733_6172903-6173653,6172903,6173653,NA,NA,chr7:6172903-6173653,source,Delta PSI > 0.05,0,
Control_Control,CELSR3,ENSG00000008300.17,ENSG00000008300.17:s:48650268-48650289,0.0034,0.0054,5,3,1,chr3,-,ENSG00000008300.17:s:48650268-48650289_48649717-48650275,48649717,48650275,48649718,48650267,chr3:48649717-48650275,source,Delta PSI > 0.05,0,
Control_Control,CELSR3,ENSG00000008300.17,ENSG00000008300.17:t:48649121-48649215,0.0374,0.0247,5,4,1,chr3,-,ENSG00000008300.17:t:48649121-48649215_48649215-48650268,48649215,48650268,48649216,48649533,chr3:48649215-48650268,target,Delta PSI > 0.05,0,
Control_Control,CELSR3,ENSG00000008300.17,ENSG00000008300.17:t:48649121-48649215,0.0021,0.0023,5,4,1,chr3,-,ENSG00000008300.17:t:48649121-48649215_48649215-48649534,48649215,48649534,48649216,48649533,chr3:48649215-48649534,target,Delta PSI > 0.05,0,
Control_Control,HEATR5B,ENSG00000008869.12,ENSG00000008869.12:s:37041024-37041292,0.0067,0.0072,2,2,1,chr2,-,ENSG00000008869.12:s:37041024-37041292_37040412-37041133,37040412,37041133,NA,NA,chr2:37040412-37041133,source,Delta PSI > 0.05,0,
Control_Control,HEATR5B,ENSG00000008869.12,ENSG00000008869.12:s:37083289-37083436,0.009,0.0103,2,3,1,chr2,-,ENSG00000008869.12:s:37083289-37083436_37081755-37083289,37081755,37083289,NA,NA,chr2:37081755-37083289,source,Delta PSI < 0.05,0,
Control_Control,ADAM22,ENSG00000008277.15,ENSG00000008277.15:s:88116745-88116814,0.0046,0.004,2,3,1,chr7,+,ENSG00000008277.15:s:88116745-88116814_88116814-88120347,88116814,88120347,NA,NA,chr7:88116814-88120347,source,Delta PSI > 0.05,0,
Control_Control,ADAM22,ENSG00000008277.15,ENSG00000008277.15:t:88135980-88136031,0.0022,7e-04,2,3,1,chr7,+,ENSG00000008277.15:t:88135980-88136031_88132951-88135980,88132951,88135980,NA,NA,chr7:88132951-88135980,target,Delta PSI > 0.05,0,
Control_Control,MPND,ENSG00000008382.16,ENSG00000008382.16:s:4345745-4345981,0.0044,0.0035,2,2,1,chr19,+,ENSG00000008382.16:s:4345745-4345981_4345982-4352896,4345982,4352896,4345982,4352896,chr19:4345982-4352896,source,Delta PSI > 0.05,0,
Control_Control,NFIX,ENSG00000008441.18,ENSG00000008441.18:s:13024939-13025552,0.0046,0.0056,3,3,1,chr19,+,ENSG00000008441.18:s:13024939-13025552_13025552-13067345,13025552,13067345,NA,NA,chr19:13025552-13067345,source,Delta PSI > 0.05,0,
Control_Control,NFIX,ENSG00000008441.18,ENSG00000008441.18:t:13073047-13073109,0.0023,0.0036,6,6,1,chr19,+,ENSG00000008441.18:t:13073047-13073109_13067434-13073047,13067434,13073047,NA,NA,chr19:13067434-13073047,target,Delta PSI > 0.05,0,
Control_Control,PKD1,ENSG00000008710.20,ENSG00000008710.20:t:2093355-2093738,0.0064,0.0067,2,3,1,chr16,-,ENSG00000008710.20:t:2093355-2093738_2093738-2097148,2093738,2097148,NA,NA,chr16:2093738-2097148,target,Delta PSI > 0.05,0,
Control_Control,FAM76A,ENSG00000009780.16,ENSG00000009780.16:s:27759526-27759764,0.0175,0.023,2,3,0,chr1,+,ENSG00000009780.16:s:27759526-27759764_27759627-27759958,27759627,27759958,NA,NA,chr1:27759627-27759958,source,Delta PSI < 0.05,0,
Control_Control,DYRK4,ENSG00000010219.13,ENSG00000010219.13:s:4607236-4607389,0.0095,0.0142,3,3,1,chr12,+,ENSG00000010219.13:s:4607236-4607389_4607387-4609463,4607387,4609463,4607390,4609462,chr12:4607387-4609463,source,Delta PSI > 0.05,0,
Control_Control,UQCRC1,ENSG00000010256.11,ENSG00000010256.11:s:48609497-48610005,0.0016,7e-04,3,3,0,chr3,-,ENSG00000010256.11:s:48609497-48610005_48609302-48609497,48609302,48609497,NA,NA,chr3:48609302-48609497,source,Delta PSI < 0.05,0,
Control_Control,IFFO1,ENSG00000010295.20,ENSG00000010295.20:s:6549756-6550467,0.005,0.0059,3,3,1,chr12,-,ENSG00000010295.20:s:6549756-6550467_6549481-6549756,6549481,6549756,NA,NA,chr12:6549481-6549756,source,Delta PSI < 0.05,0,
Control_Control,NISCH,ENSG00000010322.16,ENSG00000010322.16:s:52470859-52470907,0.0041,0.0044,3,4,1,chr3,+,ENSG00000010322.16:s:52470859-52470907_52470907-52472303,52470907,52472303,NA,NA,chr3:52470907-52472303,source,Delta PSI > 0.05,0,
Control_Control,NISCH,ENSG00000010322.16,ENSG00000010322.16:s:52480139-52480303,0.0261,0.0176,6,4,1,chr3,+,ENSG00000010322.16:s:52480139-52480303_52480295-52482642,52480295,52482642,52480304,52480878,chr3:52480295-52482642,source,Delta PSI > 0.05,0,
Control_Control,PRSS3,ENSG00000010438.17,ENSG00000010438.17:s:33750679-33750727,0.0033,0.0042,4,5,1,chr9,+,ENSG00000010438.17:s:33750679-33750727_33750727-33792254,33750727,33792254,NA,NA,chr9:33750727-33792254,source,Delta PSI > 0.05,0,
Control_Control,LRRC23,ENSG00000010626.15,ENSG00000010626.15:t:6906409-6906755,0.0065,0.009,3,4,1,chr12,+,ENSG00000010626.15:t:6906409-6906755_6904903-6906409,6904903,6906409,NA,NA,chr12:6904903-6906409,target,Delta PSI > 0.05,0,
Control_Control,POMT2,ENSG00000009830.13,ENSG00000009830.13:s:77279684-77279928,0.0016,0.0028,9,4,0,chr14,-,ENSG00000009830.13:s:77279684-77279928_77279586-77279823,77279586,77279823,NA,NA,chr14:77279586-77279823,source,Delta PSI > 0.05,0,
Control_Control,POMT2,ENSG00000009830.13,ENSG00000009830.13:t:77278729-77279061,0.0028,0.0038,5,3,0,chr14,-,ENSG00000009830.13:t:77278729-77279061_77278858-77279823,77278858,77279823,NA,NA,chr14:77278858-77279823,target,Delta PSI < 0.05,0,
Control_Control,POMT2,ENSG00000009830.13,ENSG00000009830.13:t:77291314-77291493,0.0021,0.0018,4,5,0,chr14,-,ENSG00000009830.13:t:77291314-77291493_77291380-77291514,77291380,77291514,NA,NA,chr14:77291380-77291514,target,Delta PSI < 0.05,0,
Control_Control,RANBP9,ENSG00000010017.13,ENSG00000010017.13:s:13710729-13711835,0.026,0.017,4,3,1,chr6,-,ENSG00000010017.13:s:13710729-13711835_13696896-13710729,13696896,13710729,NA,NA,chr6:13696896-13710729,source,Delta PSI > 0.05,0,
Control_Control,RANBP9,ENSG00000010017.13,ENSG00000010017.13:t:13696785-13696896,0.0258,0.0168,3,3,1,chr6,-,ENSG00000010017.13:t:13696785-13696896_13696896-13710729,13696896,13710729,NA,NA,chr6:13696896-13710729,target,Delta PSI > 0.05,0,
Control_Control,UTP18,ENSG00000011260.14,ENSG00000011260.14:t:51293903-51294045,0.0038,0.0027,2,3,1,chr17,+,ENSG00000011260.14:t:51293903-51294045_51288591-51293903,51288591,51293903,NA,NA,chr17:51288591-51293903,target,Delta PSI < 0.05,0,
Control_Control,TTC19,ENSG00000011295.16,ENSG00000011295.16:s:16006474-16006568,0.0123,0.013,3,4,1,chr17,+,ENSG00000011295.16:s:16006474-16006568_16006568-16008978,16006568,16008978,NA,NA,chr17:16006568-16008978,source,Delta PSI > 0.05,0,
Control_Control,ANLN,ENSG00000011426.11,ENSG00000011426.11:s:36406402-36406570,0.0015,0.001,4,3,1,chr7,+,ENSG00000011426.11:s:36406402-36406570_36406566-36410514,36406566,36410514,NA,NA,chr7:36406566-36410514,source,Delta PSI > 0.05,0,
Control_Control,WIZ,ENSG00000011451.21,ENSG00000011451.21:s:15432434-15432761,0.0023,0.0023,4,4,1,chr19,-,ENSG00000011451.21:s:15432434-15432761_15430089-15432434,15430089,15432434,15431183,15432433,chr19:15430089-15432434,source,Delta PSI < 0.05,0,
Control_Control,WIZ,ENSG00000011451.21,ENSG00000011451.21:s:15432434-15432761,0.0335,0.0254,4,4,1,chr19,-,ENSG00000011451.21:s:15432434-15432761_15427533-15432434,15427533,15432434,15431183,15432433,chr19:15427533-15432434,source,Delta PSI > 0.05,0,
Control_Control,MAP4K3,ENSG00000011566.15,ENSG00000011566.15:s:39282513-39282554,0.0083,0.0094,2,3,1,chr2,-,ENSG00000011566.15:s:39282513-39282554_39278486-39282513,39278486,39282513,NA,NA,chr2:39278486-39282513,source,Delta PSI < 0.05,0,
Control_Control,MAP4K3,ENSG00000011566.15,ENSG00000011566.15:t:39278407-39278486,0.0076,0.0083,2,3,1,chr2,-,ENSG00000011566.15:t:39278407-39278486_39278486-39282513,39278486,39282513,NA,NA,chr2:39278486-39282513,target,Delta PSI < 0.05,0,
Control_Control,MAP4K3,ENSG00000011566.15,ENSG00000011566.15:t:39333532-39333574,0.0073,0.0078,2,3,1,chr2,-,ENSG00000011566.15:t:39333532-39333574_39333574-39343388,39333574,39343388,NA,NA,chr2:39333574-39343388,target,Delta PSI < 0.05,0,
Control_Control,MAP4K5,ENSG00000012983.12,ENSG00000012983.12:s:50443935-50444036,0.0125,0.0098,2,2,1,chr14,-,ENSG00000012983.12:s:50443935-50444036_50443770-50443935,50443770,50443935,NA,NA,chr14:50443770-50443935,source,Delta PSI > 0.05,0,
Control_Control,MAP4K5,ENSG00000012983.12,ENSG00000012983.12:s:50468649-50468782,0.0108,0.011,2,2,1,chr14,-,ENSG00000012983.12:s:50468649-50468782_50466645-50468649,50466645,50468649,NA,NA,chr14:50466645-50468649,source,Delta PSI < 0.05,0,
Control_Control,MRC2,ENSG00000011028.14,ENSG00000011028.14:t:62688852-62688960,0.0022,0.0014,3,3,1,chr17,+,ENSG00000011028.14:t:62688852-62688960_62688664-62688857,62688664,62688857,NA,NA,chr17:62688664-62688857,target,Delta PSI > 0.05,0,
Control_Control,TSPAN9,ENSG00000011105.14,ENSG00000011105.14:t:3278421-3278612,0.0033,0.0051,5,6,0,chr12,+,ENSG00000011105.14:t:3278421-3278612_3273246-3278421,3273246,3278421,NA,NA,chr12:3273246-3278421,target,Delta PSI > 0.05,0,
Control_Control,BTBD7,ENSG00000011114.15,ENSG00000011114.15:t:93261602-93261677,0.0168,0.0217,2,3,0,chr14,-,ENSG00000011114.15:t:93261602-93261677_93261677-93293858,93261677,93293858,NA,NA,chr14:93261677-93293858,target,Delta PSI > 0.05,0,
Control_Control,PTBP1,ENSG00000011304.22,ENSG00000011304.22:s:804036-804208,0.005,2e-04,3,3,0,chr19,+,ENSG00000011304.22:s:804036-804208_804209-804249,804209,804249,804209,804249,chr19:804209-804249,source,Delta PSI > 0.05,0,
Control_Control,PTBP1,ENSG00000011304.22,ENSG00000011304.22:t:804250-804438,0.005,2e-04,3,3,0,chr19,+,ENSG00000011304.22:t:804250-804438_804209-804249,804209,804249,804209,804249,chr19:804209-804249,target,Delta PSI > 0.05,0,
Control_Control,PTBP1,ENSG00000011304.22,ENSG00000011304.22:t:806408-807028,0.011,0.003,3,4,0,chr19,+,ENSG00000011304.22:t:806408-807028_805902-806408,805902,806408,NA,NA,chr19:805902-806408,target,Delta PSI > 0.05,0,
Control_Control,LARS2,ENSG00000011376.12,ENSG00000011376.12:s:45400245-45400373,0.0074,0.0079,2,3,1,chr3,+,ENSG00000011376.12:s:45400245-45400373_45400373-45400665,45400373,45400665,NA,NA,chr3:45400373-45400665,source,Delta PSI > 0.05,0,
