# SignalP-5.0	Organism: Eukarya	Timestamp: 20220628144707
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000264235.13	OTHER	0.004642	0.995358	
ENST00000264344.10	OTHER	0.001982	0.998018	
ENST00000264366.10	OTHER	0.001043	0.998957	
ENST00000264380.9	OTHER	0.000871	0.999129	
ENST00000264426.14	SP(Sec/SPI)	0.842547	0.157453	CS pos: 24-25. VSS-NS. Pr: 0.6094
ENST00000264563.7	SP(Sec/SPI)	0.987652	0.012348	CS pos: 21-22. AVA-PG. Pr: 0.4137
ENST00000264568.8	OTHER	0.011141	0.988859	
ENST00000264607.9	OTHER	0.000542	0.999458	
ENST00000264710.5	OTHER	0.046795	0.953205	
ENST00000265044.7	OTHER	0.000417	0.999583	
ENST00000265140.10	OTHER	0.000412	0.999588	
ENST00000265195.9	SP(Sec/SPI)	0.615433	0.384567	CS pos: 31-32. CLS-HQ. Pr: 0.3636
ENST00000265334.9	OTHER	0.000516	0.999484	
ENST00000265529.7	OTHER	0.000945	0.999055	
ENST00000265594.9	OTHER	0.002172	0.997828	
ENST00000265616.10	OTHER	0.043191	0.956809	
ENST00000265678.9	OTHER	0.000484	0.999516	
ENST00000265734.8	OTHER	0.000466	0.999534	
ENST00000266039.7	SP(Sec/SPI)	0.863692	0.136308	CS pos: 61-62. ASA-YS. Pr: 0.7187
ENST00000266269.10	OTHER	0.001123	0.998877	
ENST00000266483.7	OTHER	0.341425	0.658575	
ENST00000267807.12	OTHER	0.000519	0.999481	
ENST00000267868.8	OTHER	0.000739	0.999261	
ENST00000268603.9	SP(Sec/SPI)	0.953537	0.046463	CS pos: 22-23. SHA-FA. Pr: 0.7221
ENST00000269095.9	OTHER	0.000355	0.999645	
ENST00000269973.10	OTHER	0.000244	0.999756	
ENST00000270139.8	SP(Sec/SPI)	0.768211	0.231789	CS pos: 22-23. VLS-AA. Pr: 0.2416
ENST00000272427.11	OTHER	0.000828	0.999172	
ENST00000272462.3	OTHER	0.003384	0.996616	
ENST00000272845.10	OTHER	0.001234	0.998766	
ENST00000273550.12	OTHER	0.000557	0.999443	
ENST00000273986.10	OTHER	0.000749	0.999251	
ENST00000274008.5	OTHER	0.000669	0.999331	
ENST00000274498.9	OTHER	0.000342	0.999658	
ENST00000274773.12	OTHER	0.006209	0.993791	
ENST00000275053.8	OTHER	0.000702	0.999298	
ENST00000275235.8	OTHER	0.184768	0.815232	
ENST00000276520.12	OTHER	0.011402	0.988598	
ENST00000276682.8	OTHER	0.000453	0.999547	
ENST00000278520.9	OTHER	0.000935	0.999065	
ENST00000278544.9	OTHER	0.001322	0.998678	
ENST00000278616.9	OTHER	0.001500	0.998500	
ENST00000278916.8	OTHER	0.000817	0.999183	
ENST00000278980.11	OTHER	0.000736	0.999264	
ENST00000279907.12	OTHER	0.000314	0.999686	
ENST00000280083.7	OTHER	0.000200	0.999800	
ENST00000280756.9	OTHER	0.001127	0.998873	
ENST00000280772.7	OTHER	0.000288	0.999712	
ENST00000280876.6	SP(Sec/SPI)	0.681963	0.318037	CS pos: 22-23. LYA-FS. Pr: 0.2811
ENST00000281471.11	OTHER	0.032922	0.967078	
ENST00000281950.8	OTHER	0.000662	0.999338	
ENST00000282344.11	OTHER	0.394097	0.605903	
ENST00000282356.9	OTHER	0.027723	0.972277	
ENST00000283290.10	OTHER	0.001518	0.998482	
ENST00000284483.12	OTHER	0.000256	0.999744	
ENST00000286827.7	OTHER	0.000337	0.999663	
ENST00000286835.12	OTHER	0.000328	0.999672	
ENST00000288078.11	OTHER	0.002129	0.997871	
ENST00000288466.11	OTHER	0.001468	0.998532	
ENST00000290759.9	OTHER	0.021802	0.978198	
ENST00000291182.9	OTHER	0.000326	0.999674	
ENST00000291547.10	OTHER	0.003682	0.996318	
ENST00000292393.9	OTHER	0.016425	0.983575	
ENST00000292928.7	OTHER	0.000608	0.999392	
ENST00000294129.7	OTHER	0.002060	0.997940	
ENST00000294309.8	OTHER	0.001144	0.998856	
ENST00000294383.7	OTHER	0.001513	0.998487	
ENST00000294725.14	OTHER	0.000820	0.999180	
ENST00000295030.6	OTHER	0.001135	0.998865	
ENST00000296498.3	SP(Sec/SPI)	0.970515	0.029485	CS pos: 20-21. VVG-FD. Pr: 0.7986
ENST00000296564.9	OTHER	0.002619	0.997381	
ENST00000297107.11	OTHER	0.496493	0.503507	
ENST00000297135.9	OTHER	0.013958	0.986042	
ENST00000298852.8	OTHER	0.000443	0.999557	
ENST00000299667.9	OTHER	0.000315	0.999685	
ENST00000300022.8	OTHER	0.001100	0.998900	
ENST00000300091.5	OTHER	0.010505	0.989495	
ENST00000300291.10	OTHER	0.000591	0.999409	
ENST00000300688.8	OTHER	0.001099	0.998901	
ENST00000300870.15	OTHER	0.000553	0.999447	
ENST00000300873.5	OTHER	0.000764	0.999236	
ENST00000301042.7	OTHER	0.001230	0.998770	
ENST00000301457.3	OTHER	0.000920	0.999080	
ENST00000301599.7	OTHER	0.000338	0.999662	
ENST00000301618.8	OTHER	0.015925	0.984075	
ENST00000301831.9	OTHER	0.000855	0.999145	
ENST00000302278.8	SP(Sec/SPI)	0.995612	0.004388	CS pos: 20-21. VFA-QT. Pr: 0.8259
ENST00000302904.8	OTHER	0.001138	0.998862	
ENST00000303142.11	OTHER	0.001090	0.998910	
ENST00000303343.12	OTHER	0.143250	0.856750	
ENST00000303575.9	SP(Sec/SPI)	0.976939	0.023061	CS pos: 31-32. VLA-IS. Pr: 0.9384
ENST00000303824.11	OTHER	0.001456	0.998544	
ENST00000303915.10	OTHER	0.000315	0.999685	
ENST00000304166.9	SP(Sec/SPI)	0.986755	0.013245	CS pos: 23-24. MHS-DC. Pr: 0.4257
ENST00000304613.8	OTHER	0.001132	0.998868	
ENST00000304886.6	OTHER	0.000263	0.999737	
ENST00000306052.12	SP(Sec/SPI)	0.995668	0.004332	CS pos: 32-33. AAA-AA. Pr: 0.4632
ENST00000306058.9	OTHER	0.000946	0.999054	
ENST00000306065.9	OTHER	0.001217	0.998783	
ENST00000306100.10	SP(Sec/SPI)	0.998006	0.001994	CS pos: 20-21. SEG-RP. Pr: 0.9733
ENST00000306376.10	OTHER	0.000432	0.999568	
ENST00000307063.9	OTHER	0.004310	0.995690	
ENST00000307275.7	OTHER	0.004500	0.995500	
ENST00000307355.12	OTHER	0.000739	0.999261	
ENST00000307729.12	OTHER	0.008696	0.991304	
ENST00000307826.5	OTHER	0.071783	0.928217	
ENST00000308077.9	OTHER	0.156789	0.843211	
ENST00000308418.10	OTHER	0.002233	0.997767	
ENST00000308478.10	SP(Sec/SPI)	0.995719	0.004281	CS pos: 22-23. VQA-VD. Pr: 0.9629
ENST00000308488.11	OTHER	0.002344	0.997656	
ENST00000308862.10	OTHER	0.000871	0.999129	
ENST00000309033.5	OTHER	0.001124	0.998876	
ENST00000309519.8	OTHER	0.000355	0.999645	
ENST00000309660.10	OTHER	0.000551	0.999449	
ENST00000310300.11	OTHER	0.001394	0.998606	
ENST00000310343.13	OTHER	0.000214	0.999786	
ENST00000310653.10	OTHER	0.000933	0.999067	
ENST00000311044.8	OTHER	0.001574	0.998426	
ENST00000311417.7	OTHER	0.001601	0.998399	
ENST00000311669.12	SP(Sec/SPI)	0.537342	0.462658	CS pos: 31-32. GSA-LR. Pr: 0.2014
ENST00000311895.8	OTHER	0.000862	0.999138	
ENST00000312239.10	OTHER	0.002671	0.997329	
ENST00000312431.10	OTHER	0.001131	0.998869	
ENST00000313352.11	OTHER	0.000890	0.999110	
ENST00000314367.14	OTHER	0.010021	0.989979	
ENST00000314499.11	OTHER	0.001515	0.998485	
ENST00000314636.3	OTHER	0.319616	0.680384	
ENST00000314787.8	OTHER	0.002421	0.997579	
ENST00000315467.9	OTHER	0.029565	0.970435	
ENST00000316407.9	OTHER	0.000309	0.999691	
ENST00000316626.6	OTHER	0.004642	0.995358	
ENST00000316707.10	OTHER	0.001091	0.998909	
ENST00000316724.10	OTHER	0.000704	0.999296	
ENST00000316856.7	OTHER	0.000341	0.999659	
ENST00000317221.11	OTHER	0.000932	0.999068	
ENST00000317827.9	OTHER	0.013433	0.986567	
ENST00000317991.10	OTHER	0.001100	0.998900	
ENST00000318289.14	OTHER	0.000863	0.999137	
ENST00000318304.12	OTHER	0.000927	0.999073	
ENST00000318789.11	OTHER	0.001683	0.998317	
ENST00000318906.6	OTHER	0.002428	0.997572	
ENST00000319778.11	OTHER	0.000433	0.999567	
ENST00000320285.9	OTHER	0.005982	0.994018	
ENST00000320623.10	OTHER	0.004750	0.995250	
ENST00000320740.12	OTHER	0.003166	0.996834	
ENST00000320892.11	OTHER	0.005433	0.994567	
ENST00000321871.11	SP(Sec/SPI)	0.968768	0.031232	CS pos: 26-27. ALA-FA. Pr: 0.4690
ENST00000321949.13	OTHER	0.000449	0.999551	
ENST00000322090.8	OTHER	0.001119	0.998881	
ENST00000322213.9	OTHER	0.000295	0.999705	
ENST00000322310.10	OTHER	0.000179	0.999821	
ENST00000323019.9	OTHER	0.000884	0.999116	
ENST00000323267.11	OTHER	0.126565	0.873435	
ENST00000323578.13	SP(Sec/SPI)	0.988650	0.011350	CS pos: 19-20. VHT-TL. Pr: 0.6160
ENST00000323661.10	OTHER	0.001873	0.998127	
ENST00000323716.8	SP(Sec/SPI)	0.530256	0.469744	CS pos: 23-24. CYC-IY. Pr: 0.3041
ENST00000323735.10	SP(Sec/SPI)	0.530256	0.469744	CS pos: 23-24. CYC-IY. Pr: 0.3041
ENST00000323786.10	OTHER	0.000459	0.999541	
ENST00000324138.7	OTHER	0.000424	0.999576	
ENST00000324350.9	OTHER	0.002103	0.997897	
ENST00000325278.7	OTHER	0.000617	0.999383	
ENST00000326039.3	OTHER	0.003634	0.996366	
ENST00000326397.10	OTHER	0.000569	0.999431	
ENST00000326413.7	OTHER	0.000541	0.999459	
ENST00000326961.6	OTHER	0.001624	0.998376	
ENST00000327214.5	OTHER	0.000919	0.999081	
ENST00000327283.7	OTHER	0.000551	0.999449	
ENST00000328235.4	OTHER	0.000898	0.999102	
ENST00000328969.5	OTHER	0.000198	0.999802	
ENST00000329240.10	OTHER	0.002362	0.997638	
ENST00000330125.10	OTHER	0.001474	0.998526	
ENST00000330317.6	OTHER	0.015292	0.984708	
ENST00000331200.8	OTHER	0.013821	0.986179	
ENST00000331302.12	OTHER	0.000222	0.999778	
ENST00000331434.7	OTHER	0.002241	0.997759	
ENST00000331800.8	OTHER	0.000727	0.999273	
ENST00000331821.7	OTHER	0.000387	0.999613	
ENST00000332007.7	OTHER	0.001068	0.998932	
ENST00000332175.12	SP(Sec/SPI)	0.996945	0.003055	CS pos: 20-21. AAG-ET. Pr: 0.5693
ENST00000332674.9	OTHER	0.008961	0.991039	
ENST00000333681.5	OTHER	0.001032	0.998968	
ENST00000333907.3	OTHER	0.000550	0.999450	
ENST00000334421.5	OTHER	0.006209	0.993791	
ENST00000334513.6	OTHER	0.000400	0.999600	
ENST00000334805.11	OTHER	0.001135	0.998865	
ENST00000334808.10	OTHER	0.003514	0.996486	
ENST00000335080.6	OTHER	0.000542	0.999458	
ENST00000335606.11	OTHER	0.004507	0.995493	
ENST00000335841.8	OTHER	0.000990	0.999010	
ENST00000335979.6	OTHER	0.003966	0.996034	
ENST00000336083.8	OTHER	0.000958	0.999042	
ENST00000336125.6	OTHER	0.002362	0.997638	
ENST00000337195.9	OTHER	0.000368	0.999632	
ENST00000337530.11	OTHER	0.001324	0.998676	
ENST00000337554.8	OTHER	0.140612	0.859388	
ENST00000337565.9	OTHER	0.002880	0.997120	
ENST00000338641.10	OTHER	0.000501	0.999499	
ENST00000338797.10	OTHER	0.000449	0.999551	
ENST00000339089.10	OTHER	0.001182	0.998818	
ENST00000339209.9	OTHER	0.004469	0.995531	
ENST00000339360.9	OTHER	0.000460	0.999540	
ENST00000339447.8	OTHER	0.008590	0.991410	
ENST00000339526.8	OTHER	0.002305	0.997695	
ENST00000339876.11	SP(Sec/SPI)	0.994683	0.005317	CS pos: 24-25. GGA-IE. Pr: 0.8700
ENST00000340077.9	OTHER	0.002562	0.997438	
ENST00000340116.12	OTHER	0.001523	0.998477	
ENST00000340160.7	OTHER	0.002005	0.997995	
ENST00000340622.8	OTHER	0.002874	0.997126	
ENST00000340726.8	OTHER	0.001456	0.998544	
ENST00000340828.7	OTHER	0.000935	0.999065	
ENST00000340834.10	OTHER	0.001292	0.998708	
ENST00000340951.9	OTHER	0.005148	0.994852	
ENST00000341179.11	OTHER	0.001077	0.998923	
ENST00000341183.9	OTHER	0.000370	0.999630	
ENST00000341285.8	OTHER	0.000677	0.999323	
ENST00000341403.9	OTHER	0.043191	0.956809	
ENST00000341484.11	OTHER	0.131120	0.868880	
ENST00000341502.9	OTHER	0.000200	0.999800	
ENST00000341749.7	OTHER	0.000126	0.999874	
ENST00000341852.10	OTHER	0.000256	0.999744	
ENST00000342316.8	OTHER	0.001515	0.998485	
ENST00000342415.6	OTHER	0.001015	0.998985	
ENST00000342854.10	OTHER	0.001175	0.998825	
ENST00000342922.8	OTHER	0.005639	0.994361	
ENST00000343218.10	OTHER	0.001623	0.998377	
ENST00000343638.9	OTHER	0.001138	0.998862	
ENST00000343776.10	OTHER	0.065526	0.934474	
ENST00000343984.5	OTHER	0.001140	0.998860	
ENST00000344079.9	OTHER	0.001336	0.998664	
ENST00000344085.9	OTHER	0.001050	0.998950	
ENST00000344095.8	OTHER	0.000294	0.999706	
ENST00000344450.9	OTHER	0.000639	0.999361	
ENST00000344626.10	OTHER	0.004742	0.995258	
ENST00000344710.9	OTHER	0.001474	0.998526	
ENST00000344768.10	OTHER	0.000468	0.999532	
ENST00000344936.7	OTHER	0.000655	0.999345	
ENST00000346199.3	OTHER	0.002784	0.997216	
ENST00000346299.10	OTHER	0.000729	0.999271	
ENST00000346874.9	OTHER	0.002562	0.997438	
ENST00000347053.8	OTHER	0.013958	0.986042	
ENST00000347606.8	OTHER	0.001090	0.998910	
ENST00000348007.7	OTHER	0.000200	0.999800	
ENST00000348476.7	OTHER	0.000711	0.999289	
ENST00000348657.6	OTHER	0.000403	0.999597	
ENST00000348824.11	OTHER	0.070759	0.929241	
ENST00000349157.10	OTHER	0.001774	0.998226	
ENST00000349459.10	OTHER	0.004173	0.995827	
ENST00000349780.9	OTHER	0.001639	0.998361	
ENST00000349880.9	OTHER	0.002119	0.997881	
ENST00000349938.8	OTHER	0.000636	0.999364	
ENST00000349995.10	OTHER	0.002947	0.997053	
ENST00000350792.7	OTHER	0.001595	0.998405	
ENST00000351266.8	SP(Sec/SPI)	0.938031	0.061969	CS pos: 22-23. VYA-QR. Pr: 0.7616
ENST00000351933.8	OTHER	0.001123	0.998877	
ENST00000352133.3	OTHER	0.017910	0.982090	
ENST00000352297.11	OTHER	0.000933	0.999067	
ENST00000352689.11	OTHER	0.001872	0.998128	
ENST00000353887.8	OTHER	0.000681	0.999319	
ENST00000354228.8	OTHER	0.001140	0.998860	
ENST00000354268.9	OTHER	0.001573	0.998427	
ENST00000354308.8	OTHER	0.003978	0.996022	
ENST00000354412.7	SP(Sec/SPI)	0.995668	0.004332	CS pos: 32-33. AAA-AA. Pr: 0.4632
ENST00000354416.7	OTHER	0.001140	0.998860	
ENST00000354777.6	OTHER	0.062584	0.937416	
ENST00000355083.11	OTHER	0.002827	0.997173	
ENST00000355095.8	OTHER	0.000582	0.999418	
ENST00000355356.3	OTHER	0.000288	0.999712	
ENST00000355431.8	OTHER	0.000711	0.999289	
ENST00000355445.7	OTHER	0.010808	0.989192	
ENST00000355628.9	OTHER	0.002259	0.997741	
ENST00000355681.3	OTHER	0.000416	0.999584	
ENST00000355749.7	OTHER	0.001322	0.998678	
ENST00000355969.11	OTHER	0.000198	0.999802	
ENST00000356521.9	OTHER	0.005491	0.994509	
ENST00000356736.5	SP(Sec/SPI)	0.919990	0.080010	CS pos: 22-23. GVA-EG. Pr: 0.5164
ENST00000356828.7	OTHER	0.000314	0.999686	
ENST00000356836.10	OTHER	0.012096	0.987904	
ENST00000356884.11	OTHER	0.000266	0.999734	
ENST00000356918.8	OTHER	0.000775	0.999225	
ENST00000357077.9	OTHER	0.001043	0.998957	
ENST00000357115.9	OTHER	0.000717	0.999283	
ENST00000357119.8	OTHER	0.000198	0.999802	
ENST00000357327.9	OTHER	0.000256	0.999744	
ENST00000357574.7	OTHER	0.090259	0.909741	
ENST00000357637.10	OTHER	0.140522	0.859478	
ENST00000357692.6	OTHER	0.493216	0.506784	
ENST00000357716.9	SP(Sec/SPI)	0.640905	0.359095	CS pos: 34-35. ARG-QE. Pr: 0.3030
ENST00000357743.9	OTHER	0.001827	0.998173	
ENST00000357847.9	OTHER	0.184768	0.815232	
ENST00000357971.7	OTHER	0.001215	0.998785	
ENST00000357998.10	OTHER	0.027910	0.972090	
ENST00000358461.6	OTHER	0.000459	0.999541	
ENST00000358473.2	OTHER	0.001003	0.998997	
ENST00000358691.10	OTHER	0.000901	0.999099	
ENST00000358707.7	OTHER	0.000438	0.999562	
ENST00000358741.4	SP(Sec/SPI)	0.854773	0.145227	CS pos: 37-38. AST-QA. Pr: 0.4518
ENST00000358791.9	OTHER	0.032981	0.967019	
ENST00000359031.8	OTHER	0.001118	0.998882	
ENST00000359052.8	OTHER	0.001573	0.998427	
ENST00000359107.10	OTHER	0.001004	0.998996	
ENST00000359523.7	SP(Sec/SPI)	0.857122	0.142878	CS pos: 37-38. VSA-LE. Pr: 0.8196
ENST00000359591.9	SP(Sec/SPI)	0.998457	0.001543	CS pos: 16-17. ALA-HP. Pr: 0.8717
ENST00000359735.7	OTHER	0.001300	0.998700	
ENST00000359744.8	OTHER	0.001456	0.998544	
ENST00000359926.7	OTHER	0.055891	0.944109	
ENST00000359943.8	OTHER	0.367801	0.632199	
ENST00000360156.11	OTHER	0.001140	0.998860	
ENST00000360190.8	OTHER	0.001639	0.998361	
ENST00000360265.9	OTHER	0.000459	0.999541	
ENST00000360317.7	OTHER	0.001423	0.998577	
ENST00000360413.7	OTHER	0.000168	0.999832	
ENST00000360561.7	OTHER	0.003002	0.996998	
ENST00000360655.8	OTHER	0.000329	0.999671	
ENST00000360864.9	OTHER	0.000455	0.999545	
ENST00000360938.8	OTHER	0.001079	0.998921	
ENST00000361203.7	OTHER	0.000394	0.999606	
ENST00000361271.8	OTHER	0.001624	0.998376	
ENST00000361300.4	OTHER	0.000133	0.999867	
ENST00000361360.4	OTHER	0.010189	0.989811	
ENST00000361452.8	OTHER	0.000501	0.999499	
ENST00000361833.7	SP(Sec/SPI)	0.937186	0.062814	CS pos: 21-22. VLA-TA. Pr: 0.4632
ENST00000362026.7	OTHER	0.000640	0.999360	
ENST00000366560.4	OTHER	0.024588	0.975412	
ENST00000366649.7	OTHER	0.002428	0.997572	
ENST00000366651.7	OTHER	0.002428	0.997572	
ENST00000366780.8	OTHER	0.004469	0.995531	
ENST00000366905.3	OTHER	0.005982	0.994018	
ENST00000366919.6	OTHER	0.070759	0.929241	
ENST00000366920.6	OTHER	0.070759	0.929241	
ENST00000366927.3	OTHER	0.000979	0.999021	
ENST00000366928.10	OTHER	0.001164	0.998836	
ENST00000367005.8	OTHER	0.002107	0.997893	
ENST00000367006.8	OTHER	0.001014	0.998986	
ENST00000367021.8	OTHER	0.001841	0.998159	
ENST00000367179.7	OTHER	0.003272	0.996728	
ENST00000367182.8	OTHER	0.000904	0.999096	
ENST00000367208.1	OTHER	0.001800	0.998200	
ENST00000367295.5	OTHER	0.000670	0.999330	
ENST00000367296.8	OTHER	0.001889	0.998111	
ENST00000367302.5	OTHER	0.008712	0.991288	
ENST00000367433.9	OTHER	0.000820	0.999180	
ENST00000367591.5	OTHER	0.006598	0.993402	
ENST00000367592.5	OTHER	0.140535	0.859465	
ENST00000367596.5	OTHER	0.449719	0.550281	
ENST00000367601.8	OTHER	0.349994	0.650006	
ENST00000367657.7	SP(Sec/SPI)	0.937186	0.062814	CS pos: 21-22. VLA-TA. Pr: 0.4632
ENST00000367815.9	OTHER	0.000384	0.999616	
ENST00000367816.5	OTHER	0.000384	0.999616	
ENST00000367853.3	OTHER	0.027373	0.972627	
ENST00000367925.6	OTHER	0.000391	0.999609	
ENST00000367926.9	OTHER	0.000391	0.999609	
ENST00000368023.7	OTHER	0.001237	0.998763	
ENST00000368024.5	OTHER	0.001673	0.998327	
ENST00000368196.7	SP(Sec/SPI)	0.957230	0.042770	CS pos: 33-34. AGA-AP. Pr: 0.7823
ENST00000368251.1	OTHER	0.001908	0.998092	
ENST00000368254.6	OTHER	0.001908	0.998092	
ENST00000368357.7	OTHER	0.000200	0.999800	
ENST00000368401.6	OTHER	0.001366	0.998634	
ENST00000368404.9	OTHER	0.143250	0.856750	
ENST00000368405.7	OTHER	0.084896	0.915104	
ENST00000368571.3	OTHER	0.001132	0.998868	
ENST00000368590.9	OTHER	0.031827	0.968173	
ENST00000368613.8	OTHER	0.001336	0.998664	
ENST00000368614.8	OTHER	0.001336	0.998664	
ENST00000368707.5	OTHER	0.011185	0.988815	
ENST00000368708.9	OTHER	0.006430	0.993570	
ENST00000368709.6	OTHER	0.006430	0.993570	
ENST00000368843.8	OTHER	0.001930	0.998070	
ENST00000368977.9	OTHER	0.040268	0.959732	
ENST00000368988.5	OTHER	0.000429	0.999571	
ENST00000368989.6	OTHER	0.000429	0.999571	
ENST00000368990.8	OTHER	0.000429	0.999571	
ENST00000368999.5	OTHER	0.003002	0.996998	
ENST00000369001.5	OTHER	0.001934	0.998066	
ENST00000369002.9	OTHER	0.002056	0.997944	
ENST00000369004.7	OTHER	0.003002	0.996998	
ENST00000369031.4	OTHER	0.006352	0.993648	
ENST00000369037.9	OTHER	0.006352	0.993648	
ENST00000369134.9	SP(Sec/SPI)	0.656951	0.343049	CS pos: 31-32. SQG-TT. Pr: 0.5209
ENST00000369137.8	OTHER	0.313816	0.686184	
ENST00000369138.5	SP(Sec/SPI)	0.656951	0.343049	CS pos: 31-32. SQG-TT. Pr: 0.5209
ENST00000369251.6	OTHER	0.000702	0.999298	
ENST00000369649.8	OTHER	0.356984	0.643016	
ENST00000369702.5	OTHER	0.013285	0.986715	
ENST00000369827.7	OTHER	0.002557	0.997443	
ENST00000369893.10	OTHER	0.000775	0.999225	
ENST00000369967.7	OTHER	0.000198	0.999802	
ENST00000370197.5	OTHER	0.000928	0.999072	
ENST00000370198.5	OTHER	0.000928	0.999072	
ENST00000370305.5	OTHER	0.000794	0.999206	
ENST00000370598.6	SP(Sec/SPI)	0.892981	0.107019	CS pos: 25-26. NAA-QD. Pr: 0.3760
ENST00000370791.8	OTHER	0.001491	0.998509	
ENST00000370971.1	OTHER	0.046997	0.953003	
ENST00000370976.7	OTHER	0.020028	0.979972	
ENST00000371012.6	OTHER	0.493216	0.506784	
ENST00000371014.5	OTHER	0.002269	0.997731	
ENST00000371015.6	OTHER	0.001180	0.998820	
ENST00000371022.3	OTHER	0.004608	0.995392	
ENST00000371023.7	OTHER	0.004608	0.995392	
