gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,ControlControl_mean_psi,ControlTDP43KD_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
CACNA2D2,ENSG00000007402.12,ENSG00000007402.12:s:50374737-50374813,0.1557;-0.1578;0.0003,8.854e-01;8.915e-01;4.986e-10,4.096e-03;4.272e-03;9.463e-01,0.2805;0.6893;0.0322,0.4368;0.5303;0.0342,s|1e1.1o1|1e2.1o1|i,3,3,0;0;1,chr3,-,50373085-50374737;50370380-50374737;50373086-50374736,50370320-50370380;50373065-50373085;50374737-50374813,50373086-50374736,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50374813-50370320
CACNA2D2,ENSG00000007402.12,ENSG00000007402.12:t:50370320-50370380,-0.1264;0.1361;-0.0035,7.084e-01;7.819e-01;2.420e-04,2.620e-02;8.958e-03;8.258e-01,0.6048;0.3131;0.0845,0.4751;0.4469;0.0780,t|1e1.1o1|1e2.1o1|i,3,3,0;0;1,chr3,-,50370380-50374737;50370380-50373065;50370381-50373064,50370320-50370380;50373065-50373085;50374737-50374813,50370381-50373064,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A50374813-50370320
JARID2,ENSG00000008083.14,ENSG00000008083.14:t:15374117-15374252,0.1037;-0.1037,5.053e-01;5.053e-01,7.000e-02;7.000e-02,0.7270;0.2730,0.8487;0.1513,t|1e1.1o1|1e2.1o1,2,3,0;0,chr6,+,15246584-15374117;15248964-15374117,15246069-15246584;15248855-15248964;15374117-15374252,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A15374252-15246069
TFAP2B,ENSG00000008196.13,ENSG00000008196.13:s:50818723-50818972,0.0005;0.0000;0.0756;-0.1826;0.0458;0.0000;0.0017,7.088e-21;6.901e-21;2.589e-01;9.774e-01;6.034e-10;6.901e-21;1.375e-04,9.792e-01;1.000e+00;1.872e-01;9.010e-06;4.895e-01;1.000e+00;9.291e-01,0.0100;0.0132;0.1130;0.7600;0.0316;0.0050;0.0727,0.0395;0.0247;0.1969;0.5783;0.0607;0.0106;0.0884,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|i,7,7,1;1;0;0;1;1;1,chr6,+,50818972-50819566;50818972-50821432;50818972-50822134;50818972-50823407;50818972-50828619;50818972-50836061;50818973-50819565,50818723-50818972;50819566-50819848;50821432-50821477;50821785-50822436;50823407-50823865;50828619-50828679;50836061-50836280,50818973-50819565,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A50836280-50818723
FUZ,ENSG00000010361.14,ENSG00000010361.14:t:49807570-49807891,-0.1123;0.1123,5.369e-01;5.369e-01,5.320e-02;5.320e-02,0.2394;0.7606,0.0814;0.9186,t|1e1.1o1|i,2,2,1;1,chr19,-,49807891-49808414;49807892-49808114,49807570-49807891;49808414-49808491,49807892-49808114,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A49808491-49807570
ABHD5,ENSG00000011198.10,ENSG00000011198.10:s:43714947-43715058,-0.1718;-0.0013;0.1837,9.327e-01;6.304e-07;9.696e-01,1.440e-03;9.450e-01;5.234e-04,0.8492;0.0300;0.1194,0.6725;0.0212;0.3060,s|1e1.1o2|1e1.2o2|1e2.1o1,3,3,0;0;0,chr3,+,43715058-43717671;43715058-43717766;43715058-43718443,43714947-43715058;43717671-43717857;43718443-43722725,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A43722725-43714947
ABHD5,ENSG00000011198.10,ENSG00000011198.10:t:43718443-43722725,0.0000;0.1168;-0.1246,7.063e-21;6.615e-01;7.144e-01,9.999e-01;2.155e-02;2.090e-02,0.0112;0.0800;0.9080,0.0168;0.1977;0.7835,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,1;0;0,chr3,+,43711863-43718443;43715058-43718443;43717857-43718443,43711709-43711863;43714947-43715058;43717671-43717857;43718443-43722725,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A43722725-43711709
BRCA1,ENSG00000012048.23,ENSG00000012048.23:s:43093013-43094860,0.1513;-0.1513,8.339e-01;8.339e-01,9.440e-03;9.440e-03,0.1341;0.8659,0.2859;0.7141,s|1e1.1o1|i,2,2,0;0,chr17,-,43091032-43094744;43091852-43093012,43090944-43091032;43093013-43094860,43091852-43093012,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43094860-43090944
BRCA1,ENSG00000012048.23,ENSG00000012048.23:s:43124737-43125483,0.0140;0.1253;-0.0044;0.0000;0.0000;0.0103;0.0000;-0.1400,6.735e-02;6.351e-01;1.761e-04;7.062e-21;7.062e-21;7.227e-03;7.062e-21;7.278e-01,4.382e-01;4.087e-02;8.526e-01;1.000e+00;1.000e+00;6.422e-01;1.000e+00;2.567e-02,0.2934;0.3174;0.0354;0.0004;0.0004;0.0476;0.0004;0.3155,0.3145;0.4546;0.0007;0.0007;0.0007;0.0658;0.0007;0.1670,s|1e1.1o1|2e1.1o1|2e2.1o1|2e3.1o1|2e5.1o1|3e1.1o1|3e4.1o1|4e1.1o1,8,6,0;0;0;0;0;0;0;0,chr17,-,43124115-43125277;43124115-43125271;43094860-43125271;43074521-43125271;43050190-43125271;43124115-43125182;43063951-43125182;43124115-43124737,43049782-43050190;43063874-43063951;43074331-43074521;43093013-43094860;43124017-43124115;43124737-43125483,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43125483-43049782
BRCA1,ENSG00000012048.23,ENSG00000012048.23:t:43090944-43091032,-0.0000;0.1251;-0.1250,7.062e-21;6.554e-01;6.542e-01,1.000e+00;3.842e-02;3.876e-02,0.0011;0.1436;0.8552,0.0010;0.2695;0.7295,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr17,-,43091032-43095846;43091032-43094744;43091032-43091435,43090944-43091032;43091098-43091851;43093013-43094860;43095846-43095922,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43095922-43090944
BRCA1,ENSG00000012048.23,ENSG00000012048.23:t:43124017-43124115,0.0000;0.0077;0.1112;0.0091;-0.1528,7.062e-21;5.684e-02;5.594e-01;6.751e-03;7.792e-01,1.000e+00;4.675e-01;5.736e-02;6.492e-01;1.834e-02,0.0007;0.3043;0.3299;0.0498;0.3308,0.0011;0.3149;0.4550;0.0662;0.1674,t|1e1.1o1|1e2.1o4|1e2.2o4|1e2.3o4|1e2.4o4,5,3,0;0;0;0;0,chr17,-,43124115-43170126;43124115-43125277;43124115-43125271;43124115-43125182;43124115-43124737,43124017-43124115;43124737-43125483;43170126-43170245,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43170245-43124017
MAP4K5,ENSG00000012983.12,ENSG00000012983.12:s:50440013-50440073,-0.2189;0.2189,9.021e-01;9.021e-01,4.500e-03;4.500e-03,0.8566;0.1434,0.6247;0.3753,s|1e1.1o1|1e2.1o1,2,3,0;1,chr14,-,50438094-50440013;50438008-50440013,50437894-50438008;50438092-50438401;50440013-50440073,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A50440073-50437894
MAP4K5,ENSG00000012983.12,ENSG00000012983.12:s:50532400-50532619,0.2279;-0.2279,9.209e-01;9.209e-01,3.401e-03;3.401e-03,0.5259;0.4741,0.7652;0.2348,s|1e1.1o1|2e1.1o1,2,2,0;0,chr14,-,50532158-50532448;50532158-50532400,50531942-50532158;50532400-50532619,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A50532619-50531942
MAP4K5,ENSG00000012983.12,ENSG00000012983.12:t:50437894-50438008,0.2066;-0.2066,8.833e-01;8.833e-01,5.944e-03;5.944e-03,0.1487;0.8513,0.3768;0.6232,t|1e1.1o1|1e2.1o1,2,3,1;0,chr14,-,50438008-50440013;50438008-50438092,50437894-50438008;50438092-50438401;50440013-50440073,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A50440073-50437894
CLK1,ENSG00000013441.16,ENSG00000013441.16:t:200856891-200856985,0.1312;-0.1312,6.914e-01;6.914e-01,3.182e-02;3.182e-02,0.0435;0.9565,0.1940;0.8060,t|1e1.1o1|1e2.1o1,2,3,1;0,chr2,-,200856985-200857973;200856985-200857718,200856891-200856985;200857718-200857884;200857973-200858166,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A200858166-200856891
YAF2,ENSG00000015153.15,ENSG00000015153.15:s:42238155-42238349,-0.1079;0.0316;0.0366,5.738e-01;3.189e-02;4.467e-02,4.821e-02;4.788e-01;4.392e-01,0.9728;0.0013;0.0258,0.8607;0.0666;0.0791,s|1e1.1o1|1e2.2o2|1e3.1o1,3,4,0;0;0,chr12,-,42237724-42238155;42210619-42238155;42161765-42238155,42161653-42161765;42210548-42210836;42237599-42237800;42238155-42238349,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A42238349-42161653
SLC45A4,ENSG00000022567.10,ENSG00000022567.10:s:141253989-141254629,0.1060;-0.1060,5.256e-01;5.256e-01,6.617e-02;6.617e-02,0.7390;0.2610,0.8530;0.1470,s|1e1.1o1|1e2.1o1,2,3,0;1,chr8,-,141221765-141253989;141219829-141253989,141219650-141219829;141221577-141221765;141253989-141254629,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A141254629-141219650
SLC45A4,ENSG00000022567.10,ENSG00000022567.10:t:141219650-141219829,-0.2923;0.2923,9.546e-01;9.546e-01,1.273e-03;1.273e-03,0.6822;0.3178,0.3523;0.6477,t|1e1.1o1|1e2.1o1,2,3,1;0,chr8,-,141219829-141253989;141219829-141221577,141219650-141219829;141221577-141221765;141253989-141254629,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A141254629-141219650
RTEL1-TNFRSF6B,ENSG00000026036.22,ENSG00000026036.22:s:63680664-63680719,0.1241;-0.1459;0.0127,6.462e-01;7.525e-01;4.039e-02,3.909e-02;2.090e-02;5.086e-01,0.0985;0.7961;0.1101,0.2360;0.6268;0.1381,s|1e1.1o1|1e2.1o1|i,3,3,1;0;1,chr20,+,63680719-63680874;63680719-63685523;63680720-63685522,63680664-63680719;63680874-na;63685523-63685597,63680720-63685522,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A63685597-63680664
RTEL1-TNFRSF6B,ENSG00000026036.22,ENSG00000026036.22:t:63695778-63695854,-0.0001;0.1449;-0.1337,9.952e-08;7.327e-01;6.815e-01,9.971e-01;2.385e-02;3.199e-02,0.0098;0.4761;0.5122,0.0013;0.6340;0.3647,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,1;0;0,chr20,+,63695221-63695778;63695480-63695778;63695650-63695778,63695066-63695221;63695328-63695650;63695778-63695854,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A63695854-63695066
IFT88,ENSG00000032742.18,ENSG00000032742.18:t:20590967-20591020,0.1710;-0.1710,8.592e-01;8.592e-01,8.490e-03;8.490e-03,0.2629;0.7371,0.4508;0.5492,t|1e1.1o1|1e2.1o1,2,3,1;0,chr13,+,20583019-20590967;20589867-20590967,20582957-20583019;20589811-20589867;20590967-20591020,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr13%3A20591020-20582957
MRI1,ENSG00000037757.14,ENSG00000037757.14:s:13765954-13766129,0.0687;0.0000;0.2098;-0.3085;0.0055,2.870e-01;6.901e-21;9.469e-01;9.988e-01;4.592e-02,1.709e-01;1.000e+00;1.930e-03;8.444e-06;4.922e-01,0.0525;0.0009;0.1469;0.6153;0.1817,0.1380;0.0009;0.3631;0.3149;0.1921,s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1|i,5,3,0;1;0;0;1,chr19,+,13766065-13768359;13766065-13768561;13766129-13768359;13766129-13768561;13766130-13768358,13765954-13766129;13768359-13768557;13768561-13768581,13766130-13768358,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A13768581-13765954
MRI1,ENSG00000037757.14,ENSG00000037757.14:t:13768359-13768557,-0.0095;0.0325;0.0913;-0.1285,6.896e-02;1.278e-01;4.506e-01;6.049e-01,4.319e-01;3.191e-01;8.175e-02;4.032e-02,0.1853;0.1143;0.3204;0.3857,0.1686;0.1656;0.4470;0.2307,t|1e1.1o1|1e2.1o2|1e2.2o2|i,4,3,0;0;0;1,chr19,+,13765109-13768359;13766065-13768359;13766129-13768359;13766130-13768358,13764871-13765109;13765954-13766129;13768359-13768557,13766130-13768358,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A13768557-13764871
CLEC16A,ENSG00000038532.16,ENSG00000038532.16:t:11178335-11182186,0.1470;-0.0995;-0.0024;-0.0114,7.240e-01;5.061e-01;6.622e-05;8.121e-03,2.473e-02;7.097e-02;9.092e-01;6.295e-01,0.5465;0.3528;0.0329;0.0628,0.7239;0.2383;0.0069;0.0417,t|1e1.1o1|1e2.1o2|1e2.2o2|i,4,3,0;0;1;1,chr16,+,11166552-11178335;11174277-11178335;11174362-11178335;11174363-11178334,11166388-11166552;11174154-11174362;11178335-11182186,11174363-11178334,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A11182186-11166388
TRIT1,ENSG00000043514.17,ENSG00000043514.17:s:39883318-39883511,0.0003;-0.0000;0.0000;-0.1948;0.0124;0.0126;0.0834;-0.0000;0.0037,5.861e-07;7.062e-21;1.968e-09;9.216e-01;3.364e-03;2.902e-02;3.989e-01;7.062e-21;3.746e-04,9.882e-01;1.000e+00;9.998e-01;3.634e-03;6.749e-01;5.515e-01;1.044e-01;1.000e+00;8.697e-01,0.0006;0.0006;0.0006;0.8565;0.0214;0.0795;0.0361;0.0006;0.0006,0.0223;0.0005;0.0046;0.6553;0.0497;0.1033;0.1310;0.0005;0.0303,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.2o2|1e6.1o1|1e7.1o2|1e8.1o1|1e9.1o1,9,10,0;0;1;0;0;0;1;0;0,chr1,-,39876132-39883318;39865667-39883318;39862935-39883318;39857417-39883318;39852876-39883318;39850261-39883318;39848097-39883318;39847297-39883318;39844640-39883318,39844531-39844640;39847044-39847297;39847986-39848097;39850119-39850261;39852558-39852951;39857277-39857417;39862788-39862935;39864710-39865667;39876062-39876132;39883318-39883511,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A39883511-39844531
CNTLN,ENSG00000044459.15,ENSG00000044459.15:s:17394534-17395069,0.2371;-0.2371,8.508e-01;8.508e-01,6.265e-03;6.265e-03,0.3301;0.6699,0.5967;0.4033,s|1e1.1o2|1e1.2o2,2,2,0;1,chr9,+,17395069-17409293;17395069-17409296,17394534-17395069;17409293-17409473,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A17409473-17394534
CNTLN,ENSG00000044459.15,ENSG00000044459.15:s:17415966-17416189,0.1072;-0.1072,5.006e-01;5.006e-01,7.174e-02;7.174e-02,0.0085;0.9915,0.1528;0.8472,s|1e1.1o1|1e2.1o1,2,3,0;0,chr9,+,17416189-17444197;17416189-17457524,17415966-17416189;17444197-17444246;17457524-17457715,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A17457715-17415966
ERCC8,ENSG00000049167.16,ENSG00000049167.16:s:60898276-60898400,-0.1298;0.0335;0.0968;-0.0000;-0.0000,7.351e-01;2.020e-01;4.853e-01;6.029e-10;8.475e-09,1.934e-02;2.307e-01;7.390e-02;9.999e-01;9.994e-01,0.1674;0.1138;0.7228;0.0049;0.0090,0.0268;0.1365;0.8302;0.0013;0.0013,s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;0;0;0;0,chr5,-,60896515-60898276;60893643-60898276;60891086-60898276;60887520-60898276;60874683-60898276,60866454-60874683;60887318-60887520;60890624-60891086;60891688-60893643;60896021-60896515;60898276-60898400,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A60898400-60866454
ERCC8,ENSG00000049167.16,ENSG00000049167.16:t:60904788-60905537,0.1160;0.0000;-0.0357;-0.0000;-0.0322,6.389e-01;6.901e-21;4.834e-02;9.058e-10;3.690e-02,2.972e-02;1.000e+00;4.373e-01;9.998e-01;4.669e-01,0.8538;0.0009;0.0713;0.0055;0.0684,0.9774;0.0011;0.0067;0.0011;0.0126,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i,5,5,0;0;0;0;1,chr5,-,60904873-60918265;60904873-60915186;60904873-60909648;60904873-60907280;60905538-60907279,60904788-60905537;60907280-60907523;60909340-60909957;60915186-60915286;60916759-60918388,60905538-60907279,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A60918388-60904788
LETMD1,ENSG00000050426.16,ENSG00000050426.16:s:51053778-51053860,-0.0942;-0.0005;-0.0000;0.1125;0.0038,4.666e-01;6.800e-06;6.901e-21;5.872e-01;1.970e-02,8.425e-02;9.777e-01;1.000e+00;5.252e-02;6.138e-01,0.8277;0.0199;0.0009;0.0641;0.0898,0.7086;0.0051;0.0008;0.1776;0.0959,s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|i,5,4,0;0;0;1;1,chr12,+,51053860-51055835;51053860-51056144;51053860-51056150;51053860-51056350;51053861-51055698,51053778-51053860;51055699-51055848;51056057-51056245;51056350-51056529,51053861-51055698,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A51056529-51053778
LETMD1,ENSG00000050426.16,ENSG00000050426.16:t:51053778-51053860,-0.1426;0.1903;-0.0000;-0.0064;-0.0000;-0.0198,7.465e-01;8.656e-01;6.901e-21;3.476e-02;9.266e-08;5.126e-02,2.223e-02;7.860e-03;1.000e+00;5.268e-01;9.979e-01;4.703e-01,0.2516;0.4800;0.0009;0.1266;0.0112;0.1418,0.0940;0.6778;0.0007;0.1175;0.0045;0.1062,t|1e1.1o1|1e2.1o2|1e2.2o2|2e1.1o1|2e2.1o2|i,6,3,0;0;0;0;1;1,chr12,+,51049185-51053778;51052207-51053778;51052246-51053778;51049185-51053812;51052207-51053812;51052362-51053777,51048874-51049430;51052088-51052361;51053778-51053860,51052362-51053777,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A51053860-51048874
KMT2C,ENSG00000055609.21,ENSG00000055609.21:s:152199279-152199459,-0.1614;0.1614,8.037e-01;8.037e-01,1.475e-02;1.475e-02,0.7750;0.2250,0.5967;0.4033,s|1e1.1o1|1e2.1o1,2,3,0;0,chr7,-,152196011-152199279;152194568-152199279,152194398-152194568;152195907-152197735;152199279-152199459,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A152199459-152194398
KMT2C,ENSG00000055609.21,ENSG00000055609.21:t:152194398-152194568,0.1717;-0.1915;0.0015,8.070e-01;8.625e-01;6.221e-05,1.348e-02;8.126e-03;9.393e-01,0.3077;0.6837;0.0077,0.4978;0.4824;0.0234,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr7,-,152194568-152199279;152194568-152195907;152194568-152195522,152194398-152194568;152195522-152195569;152195907-152197735;152199279-152199459,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A152199459-152194398
ATG5,ENSG00000057663.16,ENSG00000057663.16:t:106293028-106293106,0.1075;-0.1075,5.271e-01;5.271e-01,6.264e-02;6.264e-02,0.3923;0.6077,0.5272;0.4728,t|1e1.1o1|1e2.1o1,2,3,0;0,chr6,-,106293106-106316101;106293106-106308364,106293028-106293106;106308364-106308491;106316101-106316266,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A106316266-106293028
